alg,threads,read_ratio,record_size,req_per_query,total_count,zipf_theta,tput_1,tput_2,tput_3
TicToc,28,1.0,128.0,10.0,512000.0,0.99,10949842.0,10979057.0,10897983.0
Silo,4,0.2,128.0,1.0,128000.0,0.8,7795483.0,7889140.0,7552739.0
Cicada,4,1.0,32.0,100.0,512000.0,0.0,169148.0,168890.0,169719.0
Hekaton,28,1.0,1000.0,1.0,512000.0,0.99,3857354.0,4167835.0,3905170.0
2PL,16,0.6,32.0,100.0,512000.0,0.99,30475.0,30433.0,30403.0
TicToc,28,0.6,128.0,10.0,8192000.0,0.0,3900295.0,3886561.0,3880801.0
Hekaton,28,0.2,1000.0,100.0,32768000.0,0.8,15100.0,15445.0,15607.0
Cicada,4,0.0,8.0,100.0,512000.0,0.99,57651.0,57520.0,57348.0
ERMIA,1,1.0,100.0,10.0,32768000.0,0.4,114119.0,116028.0,115871.0
Hekaton,16,0.6,32.0,10.0,2048000.0,0.0,1649725.0,1650286.0,1636262.0
Hekaton,16,0.2,1000.0,100.0,512000.0,0.99,12480.0,12517.0,12534.0
TicToc,28,0.0,128.0,10.0,128000.0,0.8,2030054.0,1990409.0,2053265.0
Hekaton,28,0.2,1000.0,10.0,8192000.0,0.4,1615721.0,1628310.0,1628838.0
Hekaton,28,0.2,128.0,100.0,128000.0,0.8,20818.0,20660.0,20885.0
Hekaton,28,0.6,128.0,1.0,32768000.0,0.8,3629758.0,3316340.0,3558742.0
2PL,1,0.0,32.0,1.0,32768000.0,0.8,1143260.0,1153946.0,1108621.0
Silo,1,1.0,8.0,100.0,32768000.0,0.99,41416.0,41453.0,41347.0
Cicada,28,1.0,8.0,1.0,2048000.0,0.0,53727325.0,53103256.0,57839012.0
Cicada,1,0.0,128.0,100.0,8192000.0,0.8,24480.0,24338.0,24180.0
Hekaton,28,1.0,1000.0,100.0,8192000.0,0.8,291066.0,,
2PL,4,0.0,128.0,10.0,32768000.0,0.0,459674.0,455045.0,453614.0
TicToc,1,0.6,32.0,10.0,512000.0,0.8,310469.0,301101.0,309960.0
TicToc,4,0.0,8.0,10.0,2048000.0,0.8,896176.0,937567.0,926437.0
Cicada,1,1.0,128.0,1.0,512000.0,0.0,1861862.0,1899035.0,1899077.0
ERMIA,28,0.0,100.0,1.0,512000.0,0.0,4425020.0,4761410.0,4480630.0
2PL,1,1.0,1000.0,100.0,2048000.0,0.8,16911.0,16935.0,17109.0
FOEDUS,16,0.2,100.0,10.0,512000.0,0.0,1928583.1124667164,1921142.1830803244,1822633.4854919044
2PL,16,0.6,128.0,1.0,2048000.0,0.4,15234013.0,15883830.0,15328227.0
TicToc,28,0.0,1000.0,1.0,512000.0,0.99,2352417.0,5435097.0,2534921.0
Hekaton,1,0.6,1000.0,100.0,32768000.0,0.4,11135.0,11147.0,11136.0
TicToc,1,1.0,32.0,1.0,2048000.0,0.8,1583726.0,1589207.0,1592821.0
2PL,4,0.2,32.0,1.0,32768000.0,0.0,4094452.0,4099521.0,3844030.0
Cicada,4,0.6,1000.0,10.0,128000.0,0.8,757756.0,771047.0,767561.0
2PL,16,1.0,1000.0,1.0,8192000.0,0.0,11757352.0,9221568.0,9161270.0
TicToc,1,0.6,8.0,10.0,32768000.0,0.99,312979.0,320870.0,322468.0
Hekaton,4,0.2,128.0,100.0,32768000.0,0.0,41495.0,41552.0,41648.0
2PL,1,0.2,128.0,1.0,8192000.0,0.8,1188845.0,1190770.0,1311453.0
Cicada,4,1.0,8.0,10.0,512000.0,0.0,1699572.0,1700432.0,1798643.0
Cicada,4,0.6,8.0,100.0,2048000.0,0.8,94162.0,93582.0,92228.0
