warehouses,threads,cross,servers,tput_1,tput_2,tput_3
64,2,0,4,33.8319,31.1215,35.4419
64,2,0,8,69.458,78.0289,51.1464
64,2,20,2,16.2154,14.6573,17.1706
64,2,20,4,13.7783,13.3507,14.0295
64,2,20,8,39.7576,48.3674,34.7223
64,2,40,2,11.4661,13.4248,11.9338
64,2,40,4,11.4499,12.3712,13.6445
64,2,40,8,34.715,35.5639,29.3305
64,2,60,2,13.4014,13.1737,14.9131
64,2,60,4,11.7958,11.6074,10.8047
64,2,60,8,29.1062,28.6579,24.1931
64,2,80,2,12.7045,13.0087,12.4207
64,2,80,4,10.4452,10.8144,10.3827
64,2,80,8,22.4215,24.4718,20.733
64,2,100,2,11.909,13.0391,10.5543
64,2,100,4,9.5125,9.4078,11.1735
64,2,100,8,20.2692,21.0131,18.7537
64,4,0,2,33.0097,28.4255,37.266
64,4,0,4,37.0434,37.8703,33.2248
64,4,0,8,85.3454,103.635,94.5661
64,4,20,2,25.3413,25.4854,32.4875
64,4,20,4,16.1269,14.7236,15.5096
64,4,20,8,51.4788,54.2515,52.4588
64,4,40,2,19.8231,20.6118,26.0772
64,4,40,4,11.9124,12.7378,12.3378
64,4,40,8,37.1308,41.8405,42.8488
64,4,60,2,22.4945,22.1699,24.6414
64,4,60,4,11.017,12.8708,11.1119
64,4,60,8,30.3373,34.9524,34.8911
64,4,80,2,17.4942,20.0672,26.9543
64,4,80,4,9.96548,9.93571,9.61093
64,4,80,8,27.1017,29.2851,29.2691
64,4,100,2,19.4547,20.1051,27.2981
64,4,100,4,8.65046,9.04094,9.62354
64,4,100,8,21.7146,25.2499,25.8088
64,8,0,2,42.8275,42.9439,33.6237
64,8,0,4,49.7309,80.8683,53.8998
64,8,0,8,116.609,126.41,155.614
64,8,20,2,32.8363,33.3431,32.0177
64,8,20,4,11.8602,43.9719,12.9492
64,8,20,8,46.9636,49.6069,67.4954
64,8,40,2,27.6307,31.3584,41.6393
64,8,40,4,10.4004,34.3583,10.3391
64,8,40,8,37.8824,35.9701,49.4551
64,8,60,2,25.3993,25.1422,39.6793
64,8,60,4,10.9632,26.9089,11.0576
64,8,60,8,30.5117,30.1989,40.4351
64,8,80,2,28.6151,22.4075,36.9352
64,8,80,4,8.65903,22.4154,9.10012
64,8,80,8,24.9513,25.6093,32.4038
64,8,100,2,28.647,27.8113,30.3437
64,8,100,4,8.99904,21.3144,8.99743
64,8,100,8,22.1253,22.0351,27.7273
64,16,0,2,53.2846,50.522,52.0297
64,16,0,4,58.5351,72.9118,55.2305
64,16,0,8,107.309,148.571,145.33
64,16,20,2,34.7284,32.0946,47.8976
64,16,20,4,14.9488,42.0059,22.1044
64,16,20,8,45.4091,71.5083,72.3927
64,16,40,2,37.0637,32.5724,43.9141
64,16,40,4,11.9594,34.2699,11.533
64,16,40,8,37.7417,54.3141,53.8377
64,16,60,2,35.8484,31.2831,47.0335
64,16,60,4,9.16845,22.7874,9.25138
64,16,60,8,30.8597,42.1363,40.0556
64,16,80,2,24.3671,20.9839,32.3702
64,16,80,4,7.98122,25.3989,9.35057
64,16,80,8,25.8795,32.2124,32.5041
64,16,100,2,31.1348,23.885,32.2368
64,16,100,4,7.2442,22.1537,7.35046
64,16,100,8,21.7408,28.5628,27.9344
128,1,0,4,11.3792,10.9472,11.5234
128,1,0,8,23.3091,27.525,23.1099
128,1,20,4,10.1358,9.85652,10.9132
128,1,20,8,15.4377,13.4792,17.2051
128,1,40,4,9.50285,8.80004,10.6343
128,1,40,8,14.493,13.1749,15.7589
128,1,60,4,9.44416,8.78462,9.92234
128,1,60,8,12.0441,13.3828,14.3501
128,1,80,4,9.0921,8.689,10.0088
128,1,80,8,12.7602,14.1684,13.8515
128,1,100,4,8.82675,8.08487,9.53822
128,1,100,8,13.2771,11.3826,13.2518
128,2,0,4,16.3487,15.6991,15.14
128,2,0,8,36.1157,39.4707,37.4465
128,2,20,4,12.5968,11.8756,15.38
128,2,20,8,21.7399,17.1959,14.9193
128,2,40,4,11.4941,12.0817,13.92
128,2,40,8,13.8468,14.3761,14.3982
128,2,60,4,11.1678,11.4427,13.04
128,2,60,8,15.0814,14.2201,13.1953
128,2,80,4,11.0144,10.0986,12.86
128,2,80,8,12.2691,13.4872,11.973
128,2,100,4,10.7361,11.642,12.39
128,2,100,8,15.3716,14.4152,14.685
128,4,0,4,22.7222,21.5756,29.3869
128,4,0,8,43.319,45.4681,44.1004
128,4,20,4,20.7736,22.2581,25.1819
128,4,20,8,16.0125,26.3373,27.4613
128,4,40,4,21.8901,19.3334,22.9716
128,4,40,8,14.3284,26.4513,24.4626
128,4,60,4,18.1504,18.261,23.8641
128,4,60,8,14.0221,23.9994,23.9113
128,4,80,4,16.2494,18.9786,23.5975
128,4,80,8,12.4546,22.1594,21.3549
128,4,100,4,17.16,17.3739,21.6193
128,4,100,8,12.2421,20.9628,20.0879
128,8,0,4,32.1004,31.373,33.8907
128,8,0,8,41.6633,39.3075,55.5454
128,8,20,4,25.759,25.9177,32.7781
128,8,20,8,15.8737,14.9108,32.1102
128,8,40,4,24.6848,24.1701,30.9911
128,8,40,8,13.7744,14.2859,28.9875
128,8,60,4,25.6139,24.6006,26.8491
128,8,60,8,13.9103,13.766,25.471
128,8,80,4,21.5179,18.7627,27.922
128,8,80,8,13.0164,13.1085,24.2854
128,8,100,4,21.1685,20.1186,25.0051
128,8,100,8,11.4993,12.2821,21.9222
128,16,0,4,28.9414,26.4924,34.2622
128,16,0,8,38.5145,37.8285,60.7533
128,16,20,4,27.0056,26.1389,28.5337
128,16,20,8,14.6593,15.1646,34.9396
128,16,40,4,22.4255,24.094,33.9251
128,16,40,8,11.8327,12.996,27.6955
128,16,60,4,21.0391,21.6299,31.84
128,16,60,8,15.2295,13.1127,26.185
128,16,80,4,22.5382,20.9798,29.783
128,16,80,8,11.7934,12.5896,23.7809
128,16,100,4,22.0522,19.2169,23.3264
128,16,100,8,11.5426,12.9606,22.0268
256,1,0,8,16.552,16.5555,17.2615
256,1,20,8,15.1953,15.0564,16.9518
256,1,40,8,14.6379,13.5969,14.8971
256,1,60,8,14.0044,13.8164,15.0138
256,1,80,8,13.4628,12.566,15.0361
256,1,100,8,13.1706,13.2533,14.4393
256,2,0,8,23.119,21.6156,20.6845
256,2,20,8,18.6635,17.9656,19.8891
256,2,40,8,15.8835,17.0113,18.452
256,2,60,8,16.0185,15.8887,17.5888
256,2,80,8,16.0038,14.3055,18.5066
256,2,100,8,16.2328,14.9309,16.9417
256,4,0,8,30.2142,32.6862,28.8656
256,4,20,8,26.8663,24.9326,28.6649
256,4,40,8,24.6863,23.7838,28.6813
256,4,60,8,23.8585,20.9828,27.5115
256,4,80,8,22.9523,17.6484,25.1368
256,4,100,8,22.4014,17.2815,23.268
256,8,0,8,34.8815,33.0911,36.2851
256,8,20,8,27.793,27.3419,32.8907
256,8,40,8,27.6163,25.2036,29.4338
256,8,60,8,23.1096,19.6284,27.94
256,8,80,8,23.6684,22.4235,27.8804
256,8,100,8,19.0104,21.1772,27.6312
256,16,0,8,33.1075,29.1961,28.9478
256,16,20,8,26.7661,24.4139,29.2762
256,16,40,8,23.3495,25.4747,27.3619
256,16,60,8,24.5833,17.1971,26.164
256,16,80,8,23.5932,19.499,25.5285
256,16,100,8,22.7826,17.206,24.0655
