alg,nnodes,WH,dist,tput_1,tput_2,tput_3
Calvin,4,128,10,79354.425,78538.8525,0.0
Calvin,4,128,20,77763.20000000001,0.0,0.0
Calvin,4,128,30,84045.835,2158.8664666666664,1929.9
Calvin,4,128,40,0.0,79830.73999999999,76130.1025
Calvin,4,128,50,1349.8498,77580.045,78586.81966666668
Calvin,4,128,60,62833.93,0.0,0.0
Calvin,4,128,70,77250.14166666666,76203.46,2021.5490300000001
Calvin,4,128,80,40631.8135,70521.40066666667,73698.29800000001
Calvin,4,128,90,72094.45166666668,68333.02666666667,66037.1446
Calvin,4,128,100,0.0,0.0,62265.7996
Calvin,8,1,0,0.0,100612.02683500902,101113.18534648593
Calvin,8,1,10,0.0,17637.38535506733,87259.84979465087
Calvin,8,1,20,34.49995,24359.32463514225,9190.693535570854
Calvin,8,1,30,8004.798009432689,34883.23963305322,17182.874929718877
Calvin,8,1,40,17882.141353936757,12502.448591197543,17293.693692771085
Calvin,8,1,50,9119.227182621917,29379.54488955823,14873.692772877223
Calvin,8,1,60,18828.659055070028,21447.10975512605,25534.07936878151
Calvin,8,1,70,19403.989404761905,20729.055783123247,22654.28318180317
Calvin,8,1,80,17317.590989343087,16183.829625603592,27434.589987865413
Calvin,8,1,90,28878.095373909928,18788.14351008319,14988.327335187474
Calvin,8,1,100,36638.89373200584,18323.648464229693,19613.871059523808
Calvin,8,2,0,127665.69291594952,127247.28447342358,127676.48309332362
Calvin,8,2,10,43249.96507042685,63695.95873809524,29084.01843197725
Calvin,8,2,20,25189.49074460806,16300.18839902467,112693.87104747561
Calvin,8,2,30,25406.26898680436,26852.370938037864,15357.486246414228
Calvin,8,2,40,15316.71078916751,27324.01103658537,101591.69026465864
Calvin,8,2,50,26457.22294429145,25769.71674498342,48379.847447791166
Calvin,8,2,60,23706.424076305222,25184.35325631096,54382.823586775674
Calvin,8,2,70,36750.9733718732,25574.124296758462,21662.85077687444
Calvin,8,2,80,23382.318655012736,31766.76490203672,43421.82393861159
Calvin,8,2,90,22470.200539113597,24484.186734079172,21747.60191604938
Calvin,8,2,100,21779.353997375216,21071.593878020652,21900.998048518726
Calvin,8,4,0,144478.53429091387,143653.55872985165,144111.57821236164
Calvin,8,4,10,64547.41854166946,130543.65528549383,23098.328959059363
Calvin,8,4,20,51559.65079112603,41139.23657586443,24224.58701745519
Calvin,8,4,30,121090.9589221074,22356.676366586486,45696.913856481486
Calvin,8,4,40,112927.70506581303,49779.81339839549,46332.418186479816
Calvin,8,4,50,58502.17653986995,33871.3065720523,31494.517378715424
Calvin,8,4,60,63175.896815934066,22065.42145617673,67535.70936533538
Calvin,8,4,70,63610.189249016,32172.55163603135,117.95
Calvin,8,4,80,74636.91104143656,30762.598701314106,94919.32790605602
Calvin,8,4,90,425.0,93.9999,40748.95952586254
Calvin,8,4,100,38414.24825165613,129.0,19.9999
Calvin,8,8,0,152391.13297689875,152921.40754651898,152752.33933296878
Calvin,8,8,10,146704.05198314844,143919.29052737344,143802.0367145728
Calvin,8,8,20,140748.36628423422,137710.39636752015,142129.23601997126
Calvin,8,8,30,134170.78442925436,135596.30308718354,138375.9250628323
Calvin,8,8,40,128934.84308876583,128800.95222844949,130873.51240967089
Calvin,8,8,50,124015.30914526898,85752.08561846487,128873.0750946076
Calvin,8,8,60,123795.71698908228,123232.7888186867,118466.64187927215
Calvin,8,8,70,114992.75036635317,119624.66418931785,115414.76740675965
Calvin,8,8,80,109255.95648188597,108579.85516445406,110047.34134363355
