keys,ReadRatio,nShard,nrep,nclients,tput_1,tput_2,tput_3
0.512,0.0,2,5,10,15220.46848602,17905.102954341986,17018.959120460193
0.512,0.0,2,5,15,23861.553879927462,63503.5244808535,26895.18840267879
0.512,0.0,2,5,20,29041.064064587328,32856.90816494168,32310.17770597738
0.512,0.0,2,5,25,33325.55736994701,35348.17956875221,88315.81736288969
0.512,0.0,2,5,5,10597.598584160829,9099.181073703367,9147.373331747789
0.512,0.0,3,3,10,24562.179156534767,23633.957269805258,24360.5359317905
0.512,0.0,3,3,15,32646.338676504194,32775.811209439526,31720.539254559873
0.512,0.0,3,3,20,37947.78384942319,40238.210204410105,39907.41479766941
0.512,0.0,3,3,25,42696.72516118014,46070.211001566386,45882.08304657031
0.512,0.0,3,3,5,10675.206832132373,10224.008015622285,9991.507218863966
0.512,1.0,1,3,10,15205.656504219569,14055.208860403665,17087.0070398469
