WH,terminal,num_chunk,chunk_size,tput_1,tput_2,tput_3
16,2,8,8192,166.5303244717573,176.86618075631273,169.7977143076883
16,32,1,1024,3063.911081180143,3031.2304774106306,2929.874629336622
16,32,1,2048,2912.9994334855837,3015.9335469704915,2900.5432399457654
16,32,1,4096,3010.09196704414,2996.597929550604,2918.9886009804663
16,32,1,8192,3031.889733546209,3024.6115970088076,2877.564748817721
16,32,2,1024,3235.7057146755214,3194.8152508310413,3077.3865881387983
16,32,2,2048,3146.8579703923588,3202.3332495186246,3094.7652533683795
16,32,2,4096,3150.101836255466,3172.3043069747105,3116.279322733783
16,32,2,8192,3196.171759974013,3256.48455002199,3096.825768407346
16,32,4,1024,3350.397006212153,3290.847605533287,3130.5632004205113
16,32,4,2048,3241.2151062666117,3234.5094818507546,3121.2403464953204
16,32,4,4096,3240.503203456024,3226.937409834784,3146.7793290931822
16,32,4,8192,3218.580324388251,3225.9154221653034,3169.428292777482
16,32,8,1024,3264.1616452980024,3313.6794887844144,3149.482052781505
16,32,8,2048,3274.8099400268243,3311.8631755212978,3170.1860271305627
16,32,8,4096,3248.20428848609,3250.4545146410837,3129.457717304275
16,32,8,8192,3184.8302678280397,3231.8231768980904,3114.7787253816
16,4,1,1024,343.79466025582576,331.66467038254336,343.313796351619
16,4,1,2048,343.89400862126615,330.5609956063009,331.9828070243902
16,4,1,4096,338.4313573341673,327.4324639237407,331.8805167906082
16,4,1,8192,326.14569206657603,331.48173744765654,349.8331206931015
16,4,2,1024,328.4164130142501,333.3660459613135,345.0991611272075
16,4,2,2048,327.0788938042867,329.7959094259068,332.1281650149964
16,4,2,4096,344.39936166152313,338.8816034839482,331.6108463381018
16,4,2,8192,328.57811271998935,334.7656474112794,334.84490166268876
16,4,4,1024,334.04857413593123,334.3997659424572,346.9786523484281
16,4,4,2048,334.94899087684524,331.59842285158123,354.9310663590349
16,4,4,4096,333.6465126432382,348.5655730886565,333.04816875129654
16,4,4,8192,348.69848113915583,349.1637331792012,325.97990481251946
16,4,8,1024,331.8296524797302,351.1951136350799,340.1804813792406
16,4,8,2048,348.2115719773535,335.465572713434,332.8314677131074
16,4,8,4096,333.8792486267823,336.6642786844937,351.99538392666864
16,4,8,8192,335.3991549953689,350.81463988186005,335.8982584459062
16,512,1,1024,4037.0653778122214,4433.546735136184,4090.224343931462
16,512,1,2048,4229.505823621084,4334.414245249421,3973.7408913937493
16,512,1,4096,4177.896189329473,4267.7381884655315,3997.0891777556594
16,512,1,8192,4187.328756076077,4325.563363954852,3982.0857135400815
16,512,2,1024,4554.613860277672,4465.5663451458895,4163.609823232892
16,512,2,2048,4541.548072375637,4467.346898693327,4179.165037645326
16,512,2,4096,4513.671495487455,4471.074690587499,4088.35457791592
16,512,2,8192,4521.439676798606,4506.846440513713,3917.766392287279
