alg,WH,Distributed,threads,tput_1,tput_2,tput_3
Aria,4,90,8,1730.7,1739.4,1747.9
Aria,4,100,8,1736.1,1735.9,1745.2
Aria,8,0,8,3469.6,3507.9,3463.6
Aria,8,10,8,3462.1,3461.4,3454.3
Aria,8,20,8,3466.6,3468.6,3467.0
Aria,8,30,8,3449.5,3468.0,3444.6
Aria,8,40,8,3465.8,3458.1,3453.7
Aria,8,50,8,3465.0,3462.8,3477.5
Aria,8,60,8,3479.8,3469.3,3471.0
Aria,8,70,8,3461.5,3471.8,3478.8
Aria,8,80,8,3461.6,3477.9,3479.2
Aria,8,90,8,3459.9,3476.4,3469.1
Aria,8,100,8,3475.7,3498.5,3467.0
Aria,16,0,8,6726.2,6748.7,6701.9
Aria,16,10,8,6701.8,6731.8,6722.9
Aria,16,20,8,6744.7,6701.2,6702.3
Aria,16,30,8,6727.6,6729.6,6699.6
Aria,16,40,8,6686.9,6697.3,6727.5
Aria,16,50,8,6716.3,6690.9,6722.3
Aria,16,60,8,6725.5,6676.0,6695.7
Aria,16,70,8,6678.8,6680.2,6669.9
Aria,16,80,8,6702.5,6651.6,6709.4
Aria,16,90,8,6673.9,6670.0,6707.4
Aria,16,100,8,6716.9,6671.6,6650.3
Aria,32,0,8,11612.4,11638.5,11603.1
Aria,32,10,8,11592.7,11585.6,11568.0
Aria,32,20,8,11576.0,11571.6,11517.6
Aria,32,30,8,11622.5,11601.9,11634.5
Aria,32,40,8,11557.3,11554.3,11577.2
Aria,32,50,8,11616.7,11584.4,11530.5
Aria,32,60,8,11632.9,11557.2,11563.9
Aria,32,70,8,11550.2,11598.3,11548.5
Aria,32,80,8,11417.4,11561.4,11552.8
Aria,32,90,8,11631.6,11566.2,11607.0
Aria,32,100,8,11666.9,11559.4,11560.3
Aria,64,0,8,17349.9,17362.3,17390.6
Aria,64,10,8,17338.9,17429.4,17364.7
Aria,64,20,8,17411.7,17429.8,17385.2
Aria,64,30,8,17407.7,17454.8,17433.5
Aria,64,40,8,17449.8,17372.7,17433.9
Aria,64,50,8,17357.6,17388.6,17432.1
Aria,64,60,8,17317.9,17365.1,17423.9
Aria,64,70,8,17363.7,17408.9,17336.6
Aria,64,80,8,17422.0,17375.7,17273.2
Aria,64,90,8,17366.5,17389.6,17418.9
