alg,trans,threads,warehouse,remote,tput_1,tput_2,tput_3
PartitionedStore,new_order,4,2,20,92388.45,93262.15,94696.25
PartitionedStore,new_order,4,2,30,90534.55,93697.75,94371.35
PartitionedStore,new_order,4,2,40,90986.15,91096.15,92581.3
PartitionedStore,new_order,4,2,50,90435.8,91811.55,93178.15
PartitionedStore,new_order,4,2,60,91129.66,89689.16,92795.3
PartitionedStore,new_order,4,2,70,91985.1,91848.8,91235.25
PartitionedStore,new_order,4,2,80,92450.85,92355.95,93141.95
PartitionedStore,new_order,4,2,90,93882.84,93118.4,93588.3
PartitionedStore,new_order,4,2,100,95317.8,95993.05,95398.45
PartitionedStore,new_order,4,4,0,393152.0,396092.0,370962.0
PartitionedStore,new_order,4,4,10,138378.5,139896.5,140895.0
PartitionedStore,new_order,4,4,20,103967.0,104556.0,105012.5
PartitionedStore,new_order,4,4,30,94775.35,94881.05,95204.25
PartitionedStore,new_order,4,4,40,90094.9,92082.95,91680.95
PartitionedStore,new_order,4,4,50,88795.05,89898.2,89999.05
PartitionedStore,new_order,4,4,60,81450.05,89398.25,89937.55
PartitionedStore,new_order,4,4,70,89042.16,89321.2,89750.55
PartitionedStore,new_order,4,4,80,88981.7,79816.59,89682.05
PartitionedStore,new_order,4,4,90,89318.85,90290.95,90278.05
PartitionedStore,new_order,4,4,100,90292.55,90370.55,91069.45
PartitionedStore,new_order,4,8,0,363149.5,361929.0,360994.0
PartitionedStore,new_order,4,8,10,193182.5,193540.0,192769.0
PartitionedStore,new_order,4,8,20,134205.0,135054.0,134379.5
PartitionedStore,new_order,4,8,30,111233.4,111337.5,112227.0
PartitionedStore,new_order,4,8,40,101323.7,100447.95,100442.0
PartitionedStore,new_order,4,8,50,85951.2,93829.0,94220.55
PartitionedStore,new_order,4,8,60,90083.0,90033.34,90389.59
PartitionedStore,new_order,4,8,70,88048.4,88860.85,88880.35
PartitionedStore,new_order,4,8,80,86915.3,86496.05,87353.35
PartitionedStore,new_order,4,8,90,86450.05,78627.05,86277.5
PartitionedStore,new_order,4,8,100,85218.84,85664.41,86716.2
PartitionedStore,new_order,4,16,0,335535.5,338250.5,338152.0
PartitionedStore,new_order,4,16,10,235889.0,238063.0,238091.0
PartitionedStore,new_order,4,16,20,175871.5,177073.0,178247.0
PartitionedStore,new_order,4,16,30,143317.5,142566.5,145380.5
PartitionedStore,new_order,4,16,40,126203.0,126183.5,125486.5
PartitionedStore,new_order,4,16,50,113376.6,113505.05,114009.6
PartitionedStore,new_order,4,16,60,106061.3,106853.85,106849.7
PartitionedStore,new_order,4,16,70,102957.2,102252.35,103339.1
PartitionedStore,new_order,4,16,80,99200.1,99100.6,90565.55
PartitionedStore,new_order,4,16,90,97021.65,97078.05,97996.45
PartitionedStore,new_order,4,16,100,95139.05,96139.55,96841.05
PartitionedStore,new_order,4,32,0,312781.0,319063.5,318427.0
PartitionedStore,new_order,4,32,10,260318.0,259516.5,241272.5
PartitionedStore,new_order,4,32,20,212278.5,213690.0,212645.5
PartitionedStore,new_order,4,32,30,179830.0,180876.0,182568.5
PartitionedStore,new_order,4,32,40,156660.0,157470.0,148109.0
PartitionedStore,new_order,4,32,50,140739.0,141304.5,142504.0
PartitionedStore,new_order,4,32,60,131677.6,132490.25,132597.84
PartitionedStore,new_order,4,32,70,123455.05,124770.8,124890.95
PartitionedStore,new_order,4,32,80,118258.75,119026.4,119432.65
PartitionedStore,new_order,4,32,90,116192.5,116339.7,117098.2
PartitionedStore,new_order,4,32,100,113489.8,114082.5,114011.55
PartitionedStore,new_order,4,64,0,295925.0,296620.0,296866.0
PartitionedStore,new_order,4,64,10,261150.0,260944.0,260266.0
PartitionedStore,new_order,4,64,20,224084.0,225136.0,225303.0
PartitionedStore,new_order,4,64,30,188035.0,187879.0,186825.0
PartitionedStore,new_order,4,64,40,159197.0,157198.0,156124.0
PartitionedStore,new_order,4,64,50,133915.0,133241.0,133192.0
PartitionedStore,new_order,4,64,60,116071.0,116381.0,116268.0
PartitionedStore,new_order,4,64,70,101052.0,102719.0,102568.0
PartitionedStore,new_order,4,64,80,93106.4,92114.2,92596.7
PartitionedStore,new_order,4,64,90,84124.6,84360.4,84377.9
PartitionedStore,new_order,4,64,100,79016.8,79448.4,79154.8
PartitionedStore,new_order,4,128,0,277530.0,279114.0,278389.0
PartitionedStore,new_order,4,128,10,255878.0,257827.0,254076.0
PartitionedStore,new_order,4,128,20,233497.0,233931.0,233667.0
PartitionedStore,new_order,4,128,30,207249.0,206011.0,208832.0
PartitionedStore,new_order,4,128,40,184023.0,185443.0,183549.0
PartitionedStore,new_order,4,128,50,162500.0,161904.0,163655.0
