node,threads,scale_factor,cross_warehouse,tput_1,tput_2,tput_3,tput,tp_1,tp_2,tp_3
4,8,16,60,719702,714046,697562,710436.6667
4,8,16,80,600927,609347,604903,605059
4,8,16,100,520197,509443,513119,514253
4,8,32,0,1.37E+06,1.39E+06,1.37E+06,1.38E+06
4,8,32,20,1.02E+06,1.01E+06,1.01E+06,1.01E+06
4,8,32,40,776856,795517,784732,785701.6667
4,8,32,60,637182,653277,648403,646287.3333
4,8,32,80,544237,553255,552195,549895.6667
4,8,32,100,474230,474716,478435,475793.6667
4,8,128,0,847157,851805,847162,848708
4,8,128,20,676671,670474,684069,677071.3333
4,8,128,40,558011,563186,561924,561040.3333
4,8,128,60,481986,466660,474004,474216.6667
4,8,128,80,415259,414639,409838,413245.3333
4,8,128,100,361524,363471,362832,362609
4,8,256,0,642845,632426,630036,635102.3333
4,8,256,20,529792,525668,554477,536645.6667
4,8,256,40,436981,424609,451840,437810
4,8,256,60,407488,394489,403489,401822
4,8,256,80,353988,346821,341788,347532.3333
4,8,256,100,320807,303468,298656,307643.6667
4,16,1,0,363758,358348,356440,359515.3333
4,16,1,20,359554,358978,352936,357156
4,16,1,40,358674,360403,360006,359694.3333
4,16,1,60,359082,355134,351458,355224.6667
4,16,1,80,348656,352750,357977,353127.6667
4,16,1,100,363679,360532,365102,363104.3333
4,16,2,0,711523,699311,708811,706548.3333
4,16,2,20,671691,673425,676215,673777
4,16,2,40,633872,627091,627465,629476
4,16,2,60,584367,586144,586988,585833
4,16,2,80,540490,545323,547427,544413.3333
4,16,2,100,516731,518689,528253,521224.3333
4,16,4,0,1.54E+06,1.52E+06,1.49E+06,1.52E+06
4,16,4,20,1.24E+06,1.26E+06,1.22E+06,1.24E+06
4,16,4,40,1.02E+06,1.02E+06,1.03E+06,1.02E+06
4,16,4,60,897629,886698,888553,890960
4,16,4,80,802682,796458,794614,797918
4,16,4,100,719061,719103,733212,723792
4,16,8,0,2.41E+06,2.40E+06,2.37E+06,2.39E+06
4,16,8,20,1.73E+06,1.70E+06,1.69E+06,1.71E+06
4,16,8,40,1.35E+06,1.35E+06,1.35E+06,1.35E+06
4,16,8,60,1.12E+06,1.10E+06,1.11E+06,1.11E+06
