alg,bench,thread_count,warehouse_count,tput_1,tput_2,tput_3
Hekaton,TPCC,1,4.0,148965.0,148476.0,143130.0
2PL,TPCC-FULL,16,16.0,755251.0,760854.0,794396.0
Silo,TPCC-FULL,4,16.0,299018.0,297452.0,299205.0
Silo,TPCC-FULL,28,1.0,47852.0,47886.0,47952.0
FOEDUS,TPCC-FULL,16,16.0,1223992.0600793993,1152184.7781522186,1219141.7085829142
2PL,TPCC-FULL,1,16.0,51334.0,57057.0,53075.0
TicToc,TPCC,28,2.0,1784286.0,1779510.0,1771702.0
TicToc,TPCC,28,64.0,4434156.0,4445452.0,4459459.0
2PL,TPCC,16,32.0,2025582.0,1984530.0,2096025.0
MOCC,TPCC-FULL,4,4.0,350112.6994365028,352959.735201324,352021.6797832022
ERMIA,TPCC-FULL,28,2.0,236830.0,,237015.0
Silo,TPCC,16,4.0,1629472.0,1622769.0,1635065.0
2PL,TPCC,4,2.0,386067.0,400980.0,395373.0
TicToc,TPCC-FULL,4,16.0,285463.0,283379.0,284865.0
2PL,TPCC,1,256.0,131893.0,120157.0,131407.0
Cicada,TPCC,28,1.0,1152549.0,1146367.0,1154753.0
Silo,TPCC-FULL,16,32.0,1020415.0,1011031.0,1013892.0
ERMIA,TPCC-FULL,1,32.0,52563.8,51860.5,52024.7
Hekaton,TPCC-FULL,1,4.0,64954.0,63696.0,63460.0
2PL,TPCC-FULL,4,256.0,175501.0,181338.0,172993.0
FOEDUS,TPCC-FULL,16,256.0,1184148.2792586037,,1144450.9777451113
TicToc,TPCC-FULL,16,128.0,864757.0,864370.0,863332.0
FOEDUS,TPCC-FULL,4,16.0,350326.29673703265,350142.44857551425,347278.2272177278
TicToc,TPCC-FULL,1,16.0,70900.0,69034.0,70850.0
2PL,TPCC-FULL,4,16.0,216838.0,217574.0,222574.0
ERMIA,TPCC-FULL,16,1.0,141717.0,141241.0,136868.0
ERMIA,TPCC-FULL,2,32.0,98285.1,101540.0,100672.0
Cicada,TPCC,16,32.0,3428626.0,3410998.0,3414129.0
Hekaton,TPCC-FULL,16,16.0,778714.0,782362.0,781721.0
Cicada,TPCC-FULL,28,8.0,1455190.0,1456420.0,1406031.0
TicToc,TPCC-FULL,1,4.0,80028.0,81147.0,78187.0
TicToc,TPCC,1,16.0,185315.0,185280.0,192739.0
Cicada,TPCC-FULL,16,64.0,904113.0,972100.0,972786.5
MOCC,TPCC-FULL,4,16.0,348112.7594362028,349498.6075208872,342658.52341476583
MOCC,TPCC-FULL,16,16.0,1217774.7111264444,1216467.2853271468,1110850.441495585
2PL,TPCC,4,8.0,627680.0,652443.0,654398.0
Cicada,TPCC,16,8.0,3417263.0,2415039.0,2351571.0
Hekaton,TPCC,1,64.0,123921.0,124013.0,123897.0
Hekaton,TPCC,28,256.0,2835728.0,2860457.0,2871284.0
Silo,TPCC-FULL,4,8.0,316457.0,315178.0,314139.0
Cicada,TPCC-FULL,28,4.0,1070704.0,1065998.0,1067726.0
Cicada,TPCC,4,4.0,1139202.0,1209414.0,1206625.0
Hekaton,TPCC,16,2.0,468298.0,469622.0,465891.0
MOCC,TPCC-FULL,4,32.0,327409.86295068526,349623.05376946233,352319.1768082319
ERMIA,TPCC-FULL,8,4.0,316307.0,286940.0,315617.0
Cicada,TPCC-FULL,4,8.0,310331.0,319239.0,322780.0
2PL,TPCC-FULL,16,64.0,704050.0,689816.0,692699.0
2PL,TPCC,4,1.0,192880.0,194298.0,193726.0
TicToc,TPCC,4,32.0,696850.0,704936.0,708971.0
