alg,trans,threads,warehouse,remote,tput
PartitionedStore,new_order,8,1,60,84720.703125
PartitionedStore,new_order,8,1,70,75093.6015625
PartitionedStore,new_order,8,1,80,75076.3984375
PartitionedStore,new_order,8,1,90,82757.703125
PartitionedStore,new_order,8,1,100,79237.546875
PartitionedStore,new_order,8,2,0,172424.1640625
PartitionedStore,new_order,8,2,10,78511.10546875
PartitionedStore,new_order,8,2,20,81769.34765625
PartitionedStore,new_order,8,2,30,81118.95703125
PartitionedStore,new_order,8,2,40,75312.80859375
PartitionedStore,new_order,8,2,50,77476.1171875
PartitionedStore,new_order,8,2,60,74947.19921875
PartitionedStore,new_order,8,2,70,78488.546875
PartitionedStore,new_order,8,2,80,77754.62109375
PartitionedStore,new_order,8,2,90,82214.0390625
PartitionedStore,new_order,8,2,100,78406.35546875
PartitionedStore,new_order,8,4,0,356943.578125
PartitionedStore,new_order,8,4,10,108486.16796875
PartitionedStore,new_order,8,4,20,89235.94140625
PartitionedStore,new_order,8,4,30,84551.40234375
PartitionedStore,new_order,8,4,40,82076.55859375
PartitionedStore,new_order,8,4,50,81220.68359375
PartitionedStore,new_order,8,4,60,75367.0
PartitionedStore,new_order,8,4,70,75841.38671875
PartitionedStore,new_order,8,4,80,81372.9921875
PartitionedStore,new_order,8,4,90,80103.15625
PartitionedStore,new_order,8,4,100,78528.6171875
PartitionedStore,new_order,8,8,0,698060.5
PartitionedStore,new_order,8,8,10,191040.9140625
PartitionedStore,new_order,8,8,20,119659.41796875
PartitionedStore,new_order,8,8,30,94438.2734375
PartitionedStore,new_order,8,8,40,86992.46875
PartitionedStore,new_order,8,8,50,81022.921875
PartitionedStore,new_order,8,8,60,80027.44140625
PartitionedStore,new_order,8,8,70,79008.19140625
PartitionedStore,new_order,8,8,80,78716.1328125
PartitionedStore,new_order,8,8,90,78219.7578125
PartitionedStore,new_order,8,8,100,77277.8046875
PartitionedStore,new_order,8,16,0,630602.84375
PartitionedStore,new_order,8,16,10,287318.921875
PartitionedStore,new_order,8,16,20,168570.3359375
PartitionedStore,new_order,8,16,30,123913.91796875
PartitionedStore,new_order,8,16,40,102117.4765625
PartitionedStore,new_order,8,16,50,91089.12890625
PartitionedStore,new_order,8,16,60,80665.8515625
PartitionedStore,new_order,8,16,70,78260.875
PartitionedStore,new_order,8,16,80,76491.69140625
PartitionedStore,new_order,8,16,90,74958.91015625
PartitionedStore,new_order,8,16,100,72772.37890625
PartitionedStore,new_order,8,32,0,586446.84375
PartitionedStore,new_order,8,32,10,379553.171875
PartitionedStore,new_order,8,32,20,250037.578125
PartitionedStore,new_order,8,32,30,178405.8359375
PartitionedStore,new_order,8,32,40,142072.9140625
PartitionedStore,new_order,8,32,50,121527.3359375
PartitionedStore,new_order,8,32,60,105714.69140625
PartitionedStore,new_order,8,32,70,95776.60546875
PartitionedStore,new_order,8,32,80,88346.46875
PartitionedStore,new_order,8,32,90,84735.75
PartitionedStore,new_order,8,32,100,81266.21484375
PartitionedStore,new_order,8,64,0,558522.5
PartitionedStore,new_order,8,64,10,419602.0
PartitionedStore,new_order,8,64,20,314267.5
PartitionedStore,new_order,8,64,30,230146.0
PartitionedStore,new_order,8,64,40,174902.5
PartitionedStore,new_order,8,64,50,139464.5
PartitionedStore,new_order,8,64,60,113856.5
PartitionedStore,new_order,8,64,70,97122.453125
PartitionedStore,new_order,8,64,80,88525.0
PartitionedStore,new_order,8,64,90,77962.5
PartitionedStore,new_order,8,64,100,74696.25
PartitionedStore,new_order,8,128,0,530610.0
PartitionedStore,new_order,8,128,10,438312.0
PartitionedStore,new_order,8,128,20,377224.5
PartitionedStore,new_order,8,128,30,303251.5
PartitionedStore,new_order,8,128,40,228042.0
PartitionedStore,new_order,8,128,50,197732.5
PartitionedStore,new_order,8,128,60,163526.0
PartitionedStore,new_order,8,128,70,138949.5
PartitionedStore,new_order,8,128,80,121453.0
PartitionedStore,new_order,8,128,90,106616.5
PartitionedStore,new_order,8,128,100,92605.296875
PartitionedStore,new_order,8,256,0,477773.0
PartitionedStore,new_order,8,256,10,445485.0
PartitionedStore,new_order,8,256,20,399065.5
PartitionedStore,new_order,8,256,30,349857.5
PartitionedStore,new_order,8,256,40,305461.5
PartitionedStore,new_order,8,256,50,259972.0
PartitionedStore,new_order,8,256,60,222889.5
PartitionedStore,new_order,8,256,70,190247.5
PartitionedStore,new_order,8,256,80,161835.5
PartitionedStore,new_order,8,256,90,149904.0
PartitionedStore,new_order,8,256,100,133405.0
PartitionedStore,new_order,8,512,0,446955.0
PartitionedStore,new_order,8,512,10,421731.5
PartitionedStore,new_order,8,512,20,396612.5
PartitionedStore,new_order,8,512,30,360995.0
PartitionedStore,new_order,8,512,40,331154.5
PartitionedStore,new_order,8,512,50,301107.0
PartitionedStore,new_order,8,512,60,273098.0
PartitionedStore,new_order,8,512,70,243764.0
PartitionedStore,new_order,8,512,80,219632.5
PartitionedStore,new_order,8,512,90,193153.5
PartitionedStore,new_order,8,512,100,174979.0
PartitionedStore,new_order,16,1,0,81492.0
PartitionedStore,new_order,16,1,10,70728.84375
PartitionedStore,new_order,16,1,20,74328.6484375
PartitionedStore,new_order,16,1,30,76691.953125
PartitionedStore,new_order,16,1,40,62111.80078125
PartitionedStore,new_order,16,1,50,70354.046875
PartitionedStore,new_order,16,1,60,69718.75
PartitionedStore,new_order,16,1,70,73328.75
PartitionedStore,new_order,16,1,80,68715.6015625
PartitionedStore,new_order,16,1,90,73334.6015625
PartitionedStore,new_order,16,1,100,75413.59375
PartitionedStore,new_order,16,2,0,159440.0
PartitionedStore,new_order,16,2,10,71804.40625
PartitionedStore,new_order,16,2,20,74682.8515625
PartitionedStore,new_order,16,2,30,69329.703125
PartitionedStore,new_order,16,2,40,72197.046875
PartitionedStore,new_order,16,2,50,72181.296875
PartitionedStore,new_order,16,2,60,65191.25
PartitionedStore,new_order,16,2,70,68685.453125
PartitionedStore,new_order,16,2,80,69681.6484375
PartitionedStore,new_order,16,2,90,76943.6015625
PartitionedStore,new_order,16,2,100,72081.046875
PartitionedStore,new_order,16,4,0,318984.078125
PartitionedStore,new_order,16,4,10,95901.03515625
PartitionedStore,new_order,16,4,20,81710.46875
PartitionedStore,new_order,16,4,30,76149.828125
PartitionedStore,new_order,16,4,40,73279.3359375
PartitionedStore,new_order,16,4,50,72118.7421875
