partition_num,threads,zipf,rw,servers,cross,tput
16,8,0.4,60,2,100,382768.3333333333
16,8,0.4,100,2,0,2321173.3333333335
16,8,0.4,100,2,20,1770543.3333333333
16,8,0.4,100,2,40,1424830.0
16,8,0.4,100,2,60,1201243.3333333333
16,8,0.4,100,2,80,1051880.0
16,8,0.4,100,2,100,913484.6666666666
16,8,0.8,0,2,0,287132.0
16,8,0.8,0,2,20,245493.33333333334
16,8,0.8,0,2,40,224200.66666666666
16,8,0.8,0,2,60,208720.33333333334
16,8,0.8,0,2,80,172281.33333333334
16,8,0.8,0,2,100,149974.66666666666
16,8,0.8,20,2,0,347559.0
16,8,0.8,20,2,20,303326.0
16,8,0.8,20,2,40,267895.6666666667
16,8,0.8,20,2,60,283887.3333333333
16,8,0.8,20,2,80,253756.33333333334
16,8,0.8,20,2,100,230331.0
16,8,0.8,60,2,0,607824.3333333334
16,8,0.8,60,2,20,522539.6666666667
16,8,0.8,60,2,40,462143.6666666667
16,8,0.8,60,2,60,449614.0
16,8,0.8,60,2,80,426154.6666666667
16,8,0.8,60,2,100,396767.6666666667
16,8,0.8,100,2,0,2693510.0
16,8,0.8,100,2,20,1975283.3333333333
16,8,0.8,100,2,40,1601526.6666666667
16,8,0.8,100,2,60,1350930.0
16,8,0.8,100,2,80,1137733.3333333333
16,8,0.8,100,2,100,1014176.6666666666
16,8,0.99,0,2,0,321699.3333333333
16,8,0.99,0,2,20,266335.6666666667
16,8,0.99,0,2,40,226112.66666666666
16,8,0.99,0,2,60,200681.33333333334
16,8,0.99,0,2,80,169839.33333333334
16,8,0.99,0,2,100,144396.66666666666
16,8,0.99,20,2,0,384096.0
16,8,0.99,20,2,20,314964.3333333333
16,8,0.99,20,2,40,275939.6666666667
16,8,0.99,20,2,60,272081.3333333333
16,8,0.99,20,2,80,230722.0
16,8,0.99,20,2,100,214859.33333333334
16,8,0.99,60,2,0,637325.6666666666
16,8,0.99,60,2,20,548125.0
16,8,0.99,60,2,40,507025.0
16,8,0.99,60,2,60,460227.3333333333
16,8,0.99,60,2,80,424627.6666666667
16,8,0.99,60,2,100,390323.3333333333
16,8,0.99,100,2,0,3257250.0
16,8,0.99,100,2,20,2445873.3333333335
16,8,0.99,100,2,40,2004930.0
16,8,0.99,100,2,60,1645406.6666666667
16,8,0.99,100,2,80,1430093.3333333333
16,8,0.99,100,2,100,1265350.0
32,2,0.0,0,2,0,89075.93333333333
32,2,0.0,0,2,20,67638.40000000001
32,2,0.0,0,2,40,70604.06666666667
32,2,0.0,0,2,60,58268.799999999996
32,2,0.0,0,2,80,48634.5
32,2,0.0,0,2,100,49179.03333333333
32,2,0.0,0,4,0,106107.0
32,2,0.0,0,4,20,88810.23333333334
32,2,0.0,0,4,40,77461.5
32,2,0.0,0,4,60,74708.76666666666
32,2,0.0,0,4,80,67548.43333333333
32,2,0.0,0,4,100,57473.63333333334
32,2,0.0,0,8,0,
32,2,0.0,0,8,20,
32,2,0.0,0,8,40,
32,2,0.0,0,8,60,
32,2,0.0,0,8,80,
32,2,0.0,0,8,100,60638.3
32,2,0.0,20,2,0,105070.33333333333
32,2,0.0,20,2,20,81659.2
32,2,0.0,20,2,40,84934.56666666667
32,2,0.0,20,2,60,79832.9
32,2,0.0,20,2,80,73186.0
32,2,0.0,20,2,100,62916.69999999999
32,2,0.0,20,4,0,134269.0
32,2,0.0,20,4,20,108969.66666666667
32,2,0.0,20,4,40,94934.36666666665
32,2,0.0,20,4,60,91768.16666666667
32,2,0.0,20,4,80,79654.8
32,2,0.0,20,4,100,69270.8
32,2,0.0,20,8,0,150946.0
32,2,0.0,20,8,20,
32,2,0.0,20,8,40,
32,2,0.0,20,8,60,
32,2,0.0,20,8,80,
32,2,0.0,20,8,100,71471.0
32,2,0.0,60,2,0,189832.66666666666
32,2,0.0,60,2,20,159205.0
32,2,0.0,60,2,40,141359.33333333334
32,2,0.0,60,2,60,138064.0
