keys,ReadRatio,nShard,nrep,nclients,tput
8.192,0.2,2,5,15,21810.787893961126
8.192,0.2,2,5,20,27012.96313970804
8.192,0.2,2,5,25,32524.974647155355
8.192,0.2,3,3,5,10347.197015213687
8.192,0.2,3,3,10,25514.757919829102
8.192,0.2,3,3,15,33333.9690627295
8.192,0.2,3,3,20,40729.123155921356
8.192,0.2,3,3,25,46129.37787648389
8.192,0.6,1,3,5,9108.809083904562
8.192,0.6,1,3,10,11343.369148121748
8.192,0.6,1,3,15,16167.738704426554
8.192,0.6,1,3,20,17383.288334355937
8.192,0.6,1,3,25,17720.036964269122
8.192,0.6,1,5,5,12182.191782261507
8.192,0.6,1,5,10,12700.953774600503
8.192,0.6,1,5,15,15660.582577960173
8.192,0.6,1,5,20,20319.175159307382
8.192,0.6,1,5,25,17230.86987483459
8.192,0.6,1,7,5,8333.677489389973
8.192,0.6,1,7,10,11540.983185937286
8.192,0.6,1,7,15,14368.102054319015
8.192,0.6,1,7,20,19487.289538655605
8.192,0.6,1,7,25,18294.145792962026
8.192,0.6,2,3,5,9966.041372760425
8.192,0.6,2,3,10,22474.281699632225
8.192,0.6,2,3,15,23780.452902666428
8.192,0.6,2,3,20,31987.38287265434
8.192,0.6,2,3,25,31529.608881720837
8.192,0.6,2,5,5,10094.66901860698
8.192,0.6,2,5,10,17207.929255156047
8.192,0.6,2,5,15,25291.738186414732
8.192,0.6,2,5,20,31068.551656971522
8.192,0.6,2,5,25,34643.951611285964
8.192,0.6,3,3,5,11715.057758008057
8.192,0.6,3,3,10,25522.480725579448
8.192,0.6,3,3,15,35156.38326513612
8.192,0.6,3,3,20,42298.25514657601
8.192,0.6,3,3,25,48822.90514065387
8.192,1.0,1,3,5,9518.98341805273
8.192,1.0,1,3,10,23127.41535926395
8.192,1.0,1,3,15,15994.66333984248
8.192,1.0,1,3,20,17600.37620222938
8.192,1.0,1,3,25,17704.303395330382
8.192,1.0,1,5,5,8989.617113450713
8.192,1.0,1,5,10,12808.618916980835
8.192,1.0,1,5,15,17344.17167435974
8.192,1.0,1,5,20,21548.406464810374
8.192,1.0,1,5,25,18349.120742538013
8.192,1.0,1,7,5,9040.71354482949
8.192,1.0,1,7,10,12524.841900186619
8.192,1.0,1,7,15,26888.970435700376
8.192,1.0,1,7,20,21895.883451855032
8.192,1.0,1,7,25,21692.82212760836
8.192,1.0,2,3,5,11178.199404899262
8.192,1.0,2,3,10,23373.02995533959
8.192,1.0,2,3,15,26632.172412046144
8.192,1.0,2,3,20,33734.47865230681
8.192,1.0,2,3,25,37745.271072427946
8.192,1.0,2,5,5,11311.738549010357
8.192,1.0,2,5,10,18140.038021842327
8.192,1.0,2,5,15,26921.983436132694
8.192,1.0,2,5,20,33700.34165802741
8.192,1.0,2,5,25,38500.41810889258
8.192,1.0,3,3,5,12811.693541448001
8.192,1.0,3,3,10,27266.68668416265
8.192,1.0,3,3,15,38095.47730358285
8.192,1.0,3,3,20,46096.924774490624
8.192,1.0,3,3,25,54181.59688989694
32.768,0.0,1,3,5,9643.396695712734
32.768,0.0,1,3,10,13072.84558085988
32.768,0.0,1,3,15,15615.135647771089
32.768,0.0,1,3,20,16657.74164786849
32.768,0.0,1,3,25,16944.65511535692
32.768,0.0,1,5,5,9248.745113505574
32.768,0.0,1,5,10,12471.584069736578
32.768,0.0,1,5,15,14686.559825377342
32.768,0.0,1,5,20,18533.538648454796
32.768,0.0,1,5,25,18951.870583719952
32.768,0.0,1,7,5,9478.887588403704
32.768,0.0,1,7,10,11994.14706883437
32.768,0.0,1,7,15,15295.30358834606
32.768,0.0,1,7,20,17819.99090815653
32.768,0.0,1,7,25,19161.68970197636
32.768,0.0,2,3,5,9207.649727774658
32.768,0.0,2,3,10,17137.232040400588
32.768,0.0,2,3,15,22792.24309952721
32.768,0.0,2,3,20,26927.274954627424
32.768,0.0,2,3,25,29026.989389185896
32.768,0.0,2,5,5,10507.50243821635
32.768,0.0,2,5,10,17632.855712065673
32.768,0.0,2,5,15,33262.13214680408
32.768,0.0,2,5,20,31930.03576192546
