num_keys,value_size,put_percent,zipf,tput
8192,128,20,0.99,18520995.47458367
8192,128,40,0.0,18556448.31662367
8192,128,40,0.4,18534326.166476335
8192,128,40,0.8,18166990.989509333
8192,128,40,0.99,18547160.646416333
8192,128,60,0.0,18504813.019581337
8192,128,60,0.4,18326176.475596666
8192,128,60,0.8,18538110.069977332
8192,128,60,0.99,18497392.838863667
8192,128,80,0.0,18502440.647451334
8192,128,80,0.4,18552702.816144332
8192,128,80,0.8,18531454.953026
8192,128,80,0.99,18533961.043157335
8192,128,100,0.0,18569311.817916002
8192,128,100,0.4,18551636.313741334
8192,128,100,0.8,18448843.693488
8192,128,100,0.99,18503331.169472996
8192,512,0,0.0,8418932.78966833
8192,512,0,0.4,9079265.856067333
8192,512,0,0.8,9078583.305494666
8192,512,0,0.99,9052255.457394667
8192,512,20,0.0,9063889.655491
8192,512,20,0.4,9522439.784857668
8192,512,20,0.8,9518447.808401667
8192,512,20,0.99,9512218.411103332
8192,512,40,0.0,9870762.09921
8192,512,40,0.4,9534728.327206999
8192,512,40,0.8,9852731.218558332
8192,512,40,0.99,9823916.655711
8192,512,60,0.0,10683953.556838334
8192,512,60,0.4,9770209.829100333
8192,512,60,0.8,9776768.473227331
8192,512,60,0.99,9786314.066607
8192,512,80,0.0,10107161.813413667
8192,512,80,0.4,9531326.164205
8192,512,80,0.8,9519950.743005665
8192,512,80,0.99,9529846.859713333
8192,512,100,0.0,9300605.334220333
8192,512,100,0.4,9166992.601537665
8192,512,100,0.8,9163395.021072334
8192,512,100,0.99,9164289.642506666
8192,1024,0,0.0,5995709.869007333
8192,1024,0,0.4,6684962.031187001
8192,1024,0,0.8,6681181.989577
8192,1024,0,0.99,6683035.982802667
8192,1024,20,0.0,6588851.488921001
8192,1024,20,0.4,7283971.524663334
8192,1024,20,0.8,7282927.526721001
8192,1024,20,0.99,7285272.697430334
8192,1024,40,0.0,7032570.747183666
8192,1024,40,0.4,7310185.442809999
8192,1024,40,0.8,7316597.157318
8192,1024,40,0.99,7317983.047799334
8192,1024,60,0.0,7818711.526434333
8192,1024,60,0.4,7415244.5801656665
8192,1024,60,0.8,7415154.216048668
