warehouses,threads,cross,servers,tput
32,1,100,8,18.728166666666667
32,2,0,2,23.04273333333333
32,2,0,4,57.56
32,2,0,8,106.16199999999999
32,2,20,2,18.4354
32,2,20,4,31.424133333333334
32,2,20,8,49.813266666666664
32,2,40,2,14.096200000000001
32,2,40,4,25.221999999999998
32,2,40,8,37.374700000000004
32,2,60,2,14.381066666666667
32,2,60,4,20.5749
32,2,60,8,29.51866666666667
32,2,80,2,12.849033333333333
32,2,80,4,19.2022
32,2,80,8,24.566666666666666
32,2,100,2,13.795666666666667
32,2,100,4,16.313766666666666
32,2,100,8,21.401466666666668
32,4,0,2,34.3349
32,4,0,4,61.582233333333335
32,4,0,8,130.03766666666667
32,4,20,2,25.39023333333333
32,4,20,4,37.7939
32,4,20,8,55.575766666666674
32,4,40,2,20.054933333333334
32,4,40,4,26.121533333333332
32,4,40,8,41.586666666666666
32,4,60,2,15.8361
32,4,60,4,22.9224
32,4,60,8,33.16663333333334
32,4,80,2,14.179
32,4,80,4,19.431700000000003
32,4,80,8,27.909833333333335
32,4,100,2,13.764533333333333
32,4,100,4,18.709466666666668
32,4,100,8,23.81953333333333
32,8,0,2,39.76636666666667
32,8,0,4,81.39390000000002
32,8,0,8,138.97366666666667
32,8,20,2,25.510833333333334
32,8,20,4,35.591566666666665
32,8,20,8,57.062266666666666
32,8,40,2,22.849166666666665
32,8,40,4,29.724700000000002
32,8,40,8,43.13993333333334
32,8,60,2,15.086666666666666
32,8,60,4,23.543433333333336
32,8,60,8,33.686766666666664
32,8,80,2,15.450099999999999
32,8,80,4,22.542066666666667
32,8,80,8,27.977433333333334
32,8,100,2,13.938066666666666
32,8,100,4,20.5947
32,8,100,8,25.09153333333333
32,16,0,2,34.9572
32,16,0,4,62.11666666666667
32,16,0,8,124.44166666666666
32,16,20,2,25.995
32,16,20,4,31.871999999999996
32,16,20,8,54.11463333333334
32,16,40,2,22.559299999999997
32,16,40,4,26.464700000000004
32,16,40,8,44.38476666666667
32,16,60,2,17.911333333333335
32,16,60,4,22.684233333333335
32,16,60,8,34.56263333333333
32,16,80,2,12.8546
32,16,80,4,19.250433333333334
32,16,80,8,27.603033333333332
32,16,100,2,11.137866666666667
32,16,100,4,17.166533333333334
32,16,100,8,23.697533333333336
64,1,0,2,10.015566666666667
64,1,0,4,20.782433333333334
64,1,0,8,52.11483333333333
64,1,20,2,9.000660000000002
64,1,20,4,12.0453
64,1,20,8,29.233833333333337
64,1,40,2,7.903276666666668
64,1,40,4,10.926326666666666
64,1,40,8,23.297533333333334
64,1,60,2,7.58382
64,1,60,4,10.186399999999999
64,1,60,8,20.312533333333334
64,1,80,2,7.339543333333334
64,1,80,4,9.124789999999999
64,1,80,8,17.604033333333334
64,1,100,2,7.33035
64,1,100,4,8.163976666666667
64,1,100,8,15.874166666666667
64,2,0,2,18.29596666666667
64,2,0,4,33.4651
64,2,0,8,66.2111
64,2,20,2,16.014433333333333
64,2,20,4,13.719499999999998
64,2,20,8,40.949099999999994
64,2,40,2,12.2749
64,2,40,4,12.488533333333335
64,2,40,8,33.203133333333334
64,2,60,2,13.8294
64,2,60,4,11.402633333333332
64,2,60,8,27.319066666666668
64,2,80,2,12.7113
64,2,80,4,10.547433333333332
64,2,80,8,22.5421
64,2,100,2,11.834133333333334
64,2,100,4,10.031266666666665
64,2,100,8,20.012
64,4,0,2,32.9004
64,4,0,4,36.04616666666667
64,4,0,8,94.51550000000002
64,4,20,2,27.7714
64,4,20,4,15.453366666666666
64,4,20,8,52.7297
64,4,40,2,22.1707
64,4,40,4,12.329333333333333
64,4,40,8,40.6067
64,4,60,2,23.101933333333335
64,4,60,4,11.666566666666666
64,4,60,8,33.3936
64,4,80,2,21.505233333333333
64,4,80,4,9.837373333333334
64,4,80,8,28.55196666666667
64,4,100,2,22.285966666666667
64,4,100,4,9.10498
64,4,100,8,24.25776666666667
64,8,0,2,39.798366666666666
64,8,0,4,61.49966666666666
64,8,0,8,132.87766666666667
64,8,20,2,32.73236666666667
64,8,20,4,22.9271
64,8,20,8,54.688633333333335
64,8,40,2,33.5428
64,8,40,4,18.365933333333334
