alg,threads,record_size,req_per_query,total_count,read_ratio,zipf_theta,tput
2PL,1,8.0,100.0,8192000.0,0.0,0.4,16745.333333333332
2PL,1,8.0,100.0,8192000.0,0.0,0.8,19199.333333333332
2PL,1,8.0,100.0,8192000.0,0.0,0.99,28753.666666666668
2PL,1,8.0,100.0,8192000.0,0.2,0.0,16681.0
2PL,1,8.0,100.0,8192000.0,0.2,0.4,16797.666666666668
2PL,1,8.0,100.0,8192000.0,0.2,0.8,19302.666666666668
2PL,1,8.0,100.0,8192000.0,0.2,0.99,28349.333333333332
2PL,1,8.0,100.0,8192000.0,0.6,0.0,16640.0
2PL,1,8.0,100.0,8192000.0,0.6,0.4,16787.0
2PL,1,8.0,100.0,8192000.0,0.6,0.8,19364.666666666668
2PL,1,8.0,100.0,8192000.0,0.6,0.99,28155.333333333332
2PL,1,8.0,100.0,8192000.0,1.0,0.0,16693.666666666668
2PL,1,8.0,100.0,8192000.0,1.0,0.4,16806.666666666668
2PL,1,8.0,100.0,8192000.0,1.0,0.8,19702.333333333332
2PL,1,8.0,100.0,8192000.0,1.0,0.99,28478.0
2PL,1,8.0,100.0,32768000.0,0.0,0.0,16118.666666666666
2PL,1,8.0,100.0,32768000.0,0.0,0.4,15780.0
2PL,1,8.0,100.0,32768000.0,0.0,0.8,17542.666666666668
2PL,1,8.0,100.0,32768000.0,0.0,0.99,25754.333333333332
2PL,1,8.0,100.0,32768000.0,0.2,0.0,15865.333333333334
2PL,1,8.0,100.0,32768000.0,0.2,0.4,16139.0
2PL,1,8.0,100.0,32768000.0,0.2,0.8,17708.666666666668
2PL,1,8.0,100.0,32768000.0,0.2,0.99,25203.0
2PL,1,8.0,100.0,32768000.0,0.6,0.0,15967.333333333334
2PL,1,8.0,100.0,32768000.0,0.6,0.4,15955.0
2PL,1,8.0,100.0,32768000.0,0.6,0.8,17793.0
2PL,1,8.0,100.0,32768000.0,0.6,0.99,25396.0
2PL,1,8.0,100.0,32768000.0,1.0,0.0,15982.666666666666
2PL,1,8.0,100.0,32768000.0,1.0,0.4,15900.0
2PL,1,8.0,100.0,32768000.0,1.0,0.8,17802.666666666668
2PL,1,8.0,100.0,32768000.0,1.0,0.99,26333.666666666668
2PL,1,32.0,1.0,128000.0,0.0,0.0,1383458.3333333333
2PL,1,32.0,1.0,128000.0,0.0,0.4,1444444.0
2PL,1,32.0,1.0,128000.0,0.0,0.8,1725810.0
2PL,1,32.0,1.0,128000.0,0.0,0.99,2098196.6666666665
2PL,1,32.0,1.0,128000.0,0.2,0.0,1388179.3333333333
2PL,1,32.0,1.0,128000.0,0.2,0.4,1452781.6666666667
2PL,1,32.0,1.0,128000.0,0.2,0.8,1692692.0
2PL,1,32.0,1.0,128000.0,0.2,0.99,2001984.3333333333
2PL,1,32.0,1.0,128000.0,0.6,0.0,1391094.0
2PL,1,32.0,1.0,128000.0,0.6,0.4,1464072.6666666667
2PL,1,32.0,1.0,128000.0,0.6,0.8,1699790.6666666667
2PL,1,32.0,1.0,128000.0,0.6,0.99,2161444.6666666665
2PL,1,32.0,1.0,128000.0,1.0,0.0,1414280.0
2PL,1,32.0,1.0,128000.0,1.0,0.4,1460087.0
2PL,1,32.0,1.0,128000.0,1.0,0.8,1707832.0
2PL,1,32.0,1.0,128000.0,1.0,0.99,2073227.0
2PL,1,32.0,1.0,512000.0,0.0,0.0,1238133.3333333333
2PL,1,32.0,1.0,512000.0,0.0,0.4,1103789.0
2PL,1,32.0,1.0,512000.0,0.0,0.8,1526677.0
2PL,1,32.0,1.0,512000.0,0.0,0.99,1785697.6666666667
2PL,1,32.0,1.0,512000.0,0.2,0.0,1239020.3333333333
2PL,1,32.0,1.0,512000.0,0.2,0.4,1200859.0
2PL,1,32.0,1.0,512000.0,0.2,0.8,1440949.3333333333
2PL,1,32.0,1.0,512000.0,0.2,0.99,1813918.0
2PL,1,32.0,1.0,512000.0,0.6,0.0,1184960.6666666667
2PL,1,32.0,1.0,512000.0,0.6,0.4,1208462.0
2PL,1,32.0,1.0,512000.0,0.6,0.8,1542281.6666666667
2PL,1,32.0,1.0,512000.0,0.6,0.99,1827480.6666666667
2PL,1,32.0,1.0,512000.0,1.0,0.0,1184629.0
2PL,1,32.0,1.0,512000.0,1.0,0.4,1219804.6666666667
2PL,1,32.0,1.0,512000.0,1.0,0.8,1468463.0
2PL,1,32.0,1.0,512000.0,1.0,0.99,1822467.6666666667
2PL,1,32.0,1.0,2048000.0,0.0,0.0,1071614.6666666667
2PL,1,32.0,1.0,2048000.0,0.0,0.4,1082520.0
2PL,1,32.0,1.0,2048000.0,0.0,0.8,1264292.3333333333
2PL,1,32.0,1.0,2048000.0,0.0,0.99,1607067.0
2PL,1,32.0,1.0,2048000.0,0.2,0.0,1156379.3333333333
2PL,1,32.0,1.0,2048000.0,0.2,0.4,1100874.3333333333
2PL,1,32.0,1.0,2048000.0,0.2,0.8,1321094.3333333333
2PL,1,32.0,1.0,2048000.0,0.2,0.99,1646195.3333333333
2PL,1,32.0,1.0,2048000.0,0.6,0.0,1179576.3333333333
2PL,1,32.0,1.0,2048000.0,0.6,0.4,1121282.6666666667
2PL,1,32.0,1.0,2048000.0,0.6,0.8,1302404.6666666667
2PL,1,32.0,1.0,2048000.0,0.6,0.99,1671957.0
2PL,1,32.0,1.0,2048000.0,1.0,0.0,1141190.3333333333
2PL,1,32.0,1.0,2048000.0,1.0,0.4,1165502.6666666667
2PL,1,32.0,1.0,2048000.0,1.0,0.8,1337272.6666666667
2PL,1,32.0,1.0,2048000.0,1.0,0.99,1758785.0
2PL,1,32.0,1.0,8192000.0,0.0,0.0,1193951.3333333333
2PL,1,32.0,1.0,8192000.0,0.0,0.4,1101308.6666666667
2PL,1,32.0,1.0,8192000.0,0.0,0.8,1370163.0
2PL,1,32.0,1.0,8192000.0,0.0,0.99,1559924.3333333333
2PL,1,32.0,1.0,8192000.0,0.2,0.0,1170263.6666666667
2PL,1,32.0,1.0,8192000.0,0.2,0.4,1099973.0
2PL,1,32.0,1.0,8192000.0,0.2,0.8,1243332.0
2PL,1,32.0,1.0,8192000.0,0.2,0.99,1588273.3333333333
2PL,1,32.0,1.0,8192000.0,0.6,0.0,1195248.0
2PL,1,32.0,1.0,8192000.0,0.6,0.4,1106203.3333333333
2PL,1,32.0,1.0,8192000.0,0.6,0.8,1313759.0
2PL,1,32.0,1.0,8192000.0,0.6,0.99,1625704.3333333333
2PL,1,32.0,1.0,8192000.0,1.0,0.0,1122205.0
2PL,1,32.0,1.0,8192000.0,1.0,0.4,1233257.0
2PL,1,32.0,1.0,8192000.0,1.0,0.8,1246077.6666666667
2PL,1,32.0,1.0,8192000.0,1.0,0.99,1585040.6666666667
2PL,1,32.0,1.0,32768000.0,0.0,0.0,1079087.6666666667
2PL,1,32.0,1.0,32768000.0,0.0,0.4,1165796.3333333333
2PL,1,32.0,1.0,32768000.0,0.0,0.8,1135275.6666666667
2PL,1,32.0,1.0,32768000.0,0.0,0.99,1523318.0
2PL,1,32.0,1.0,32768000.0,0.2,0.0,1116746.6666666667
2PL,1,32.0,1.0,32768000.0,0.2,0.4,1084879.3333333333
2PL,1,32.0,1.0,32768000.0,0.2,0.8,1218059.3333333333
2PL,1,32.0,1.0,32768000.0,0.2,0.99,1459973.6666666667
2PL,1,32.0,1.0,32768000.0,0.6,0.0,1206335.6666666667
2PL,1,32.0,1.0,32768000.0,0.6,0.4,1085421.0
2PL,1,32.0,1.0,32768000.0,0.6,0.8,1162552.6666666667
2PL,1,32.0,1.0,32768000.0,0.6,0.99,1475222.3333333333
2PL,1,32.0,1.0,32768000.0,1.0,0.0,1210008.6666666667
2PL,1,32.0,1.0,32768000.0,1.0,0.4,1089432.0
2PL,1,32.0,1.0,32768000.0,1.0,0.8,1166573.3333333333
2PL,1,32.0,1.0,32768000.0,1.0,0.99,1579299.3333333333
2PL,1,32.0,10.0,128000.0,0.0,0.0,232805.33333333334
2PL,1,32.0,10.0,128000.0,0.0,0.4,244722.0
2PL,1,32.0,10.0,128000.0,0.0,0.8,296861.3333333333
2PL,1,32.0,10.0,128000.0,0.0,0.99,377010.0
2PL,1,32.0,10.0,128000.0,0.2,0.0,225693.0
2PL,1,32.0,10.0,128000.0,0.2,0.4,266207.0
2PL,1,32.0,10.0,128000.0,0.2,0.8,314930.6666666667
2PL,1,32.0,10.0,128000.0,0.2,0.99,392053.6666666667
2PL,1,32.0,10.0,128000.0,0.6,0.0,229165.0
2PL,1,32.0,10.0,128000.0,0.6,0.4,249741.0
2PL,1,32.0,10.0,128000.0,0.6,0.8,317994.0
2PL,1,32.0,10.0,128000.0,0.6,0.99,397169.0
2PL,1,32.0,10.0,128000.0,1.0,0.0,231703.66666666666
2PL,1,32.0,10.0,128000.0,1.0,0.4,255987.66666666666
2PL,1,32.0,10.0,128000.0,1.0,0.8,320678.6666666667
2PL,1,32.0,10.0,128000.0,1.0,0.99,390532.3333333333
2PL,1,32.0,10.0,512000.0,0.0,0.0,155629.66666666666
