alg,bench,thread_count,warehouse_count,tput
FOEDUS,TPCC-FULL,16,1.0,95703.04386789016
FOEDUS,TPCC-FULL,16,2.0,190544.06384484845
FOEDUS,TPCC-FULL,16,4.0,350346.87986453465
FOEDUS,TPCC-FULL,16,8.0,616376.1949414237
FOEDUS,TPCC-FULL,16,16.0,1198439.515604844
FOEDUS,TPCC-FULL,16,32.0,1187173.0308721783
FOEDUS,TPCC-FULL,16,64.0,1204404.9392839405
FOEDUS,TPCC-FULL,16,128.0,914917.9797071419
FOEDUS,TPCC-FULL,16,256.0,1164299.6285018576
FOEDUS,TPCC-FULL,28,1.0,92761.13619431903
FOEDUS,TPCC-FULL,28,2.0,187350.053255167
FOEDUS,TPCC-FULL,28,4.0,336838.1673059818
FOEDUS,TPCC-FULL,28,8.0,614960.8980836141
FOEDUS,TPCC-FULL,28,16.0,1211139.4236162554
FOEDUS,TPCC-FULL,28,32.0,1972822.1384452824
FOEDUS,TPCC-FULL,28,64.0,1962712.7562057711
FOEDUS,TPCC-FULL,28,128.0,1943806.9762636174
FOEDUS,TPCC-FULL,28,256.0,
Hekaton,TPCC,1,1.0,189382.66666666666
Hekaton,TPCC,1,2.0,162295.33333333334
Hekaton,TPCC,1,4.0,146857.0
Hekaton,TPCC,1,8.0,135124.66666666666
Hekaton,TPCC,1,16.0,128403.0
Hekaton,TPCC,1,32.0,126258.0
Hekaton,TPCC,1,64.0,123943.66666666667
Hekaton,TPCC,1,128.0,124168.66666666667
Hekaton,TPCC,1,256.0,120876.66666666667
Hekaton,TPCC,2,1.0,186795.0
Hekaton,TPCC,2,2.0,349520.0
Hekaton,TPCC,2,4.0,305175.0
Hekaton,TPCC,2,8.0,280060.0
Hekaton,TPCC,2,16.0,261174.0
Hekaton,TPCC,2,32.0,252200.0
Hekaton,TPCC,2,64.0,247673.0
Hekaton,TPCC,2,128.0,245916.0
Hekaton,TPCC,2,256.0,231101.0
Hekaton,TPCC,4,1.0,208047.0
Hekaton,TPCC,4,2.0,392619.0
Hekaton,TPCC,4,4.0,611686.3333333334
Hekaton,TPCC,4,8.0,556555.6666666666
Hekaton,TPCC,4,16.0,510766.6666666667
Hekaton,TPCC,4,32.0,488336.0
Hekaton,TPCC,4,64.0,478596.6666666667
Hekaton,TPCC,4,128.0,477371.0
Hekaton,TPCC,4,256.0,464665.0
Hekaton,TPCC,8,1.0,223732.0
Hekaton,TPCC,8,2.0,427229.0
Hekaton,TPCC,8,4.0,691535.0
Hekaton,TPCC,8,8.0,1031562.0
Hekaton,TPCC,8,16.0,968519.0
Hekaton,TPCC,8,32.0,923327.0
Hekaton,TPCC,8,64.0,905808.0
Hekaton,TPCC,8,128.0,908286.0
Hekaton,TPCC,8,256.0,903907.0
Hekaton,TPCC,16,1.0,52345.333333333336
Hekaton,TPCC,16,2.0,467937.0
Hekaton,TPCC,16,4.0,790076.3333333334
Hekaton,TPCC,16,8.0,1283472.6666666667
Hekaton,TPCC,16,16.0,1551440.3333333333
Hekaton,TPCC,16,32.0,1817217.0
Hekaton,TPCC,16,64.0,1771388.3333333333
Hekaton,TPCC,16,128.0,1727985.6666666667
Hekaton,TPCC,16,256.0,1703227.0
Hekaton,TPCC,28,1.0,19373.0
Hekaton,TPCC,28,2.0,491853.6666666667
Hekaton,TPCC,28,4.0,842694.6666666666
Hekaton,TPCC,28,8.0,1280535.6666666667
Hekaton,TPCC,28,16.0,2290039.3333333335
