nnodes,#WH,dist,alg,tp
2,4,10,2pl,58.26481027121494
2,4,10,Calvin,34387.04206349207
2,4,20,2pl,1416.5761550483296
2,4,20,Calvin,32244.160253968254
2,4,30,2pl,685.772316234909
2,4,30,Calvin,30539.83674206349
2,4,40,2pl,0.9768954869262169
2,4,40,Calvin,28352.28682142857
2,4,50,2pl,805.2486683707139
2,4,50,Calvin,27523.48530515873
2,4,60,2pl,754.1946309560554
2,4,60,Calvin,26289.463075396823
2,4,70,2pl,1790.0428818654866
2,4,70,Calvin,25607.464291806595
2,4,80,2pl,1227.6364905245669
2,4,80,Calvin,-2.0
2,4,90,2pl,1988.6788236431973
2,4,90,Calvin,22348.043365463393
2,4,100,2pl,1083.3581254148212
2,4,100,Calvin,20186.893365079362
2,8,0,2pl,8167.17941204111
2,8,0,Calvin,38565.56966519748
2,8,10,2pl,2666.923949760001
2,8,10,Calvin,31231.90379689852
2,8,20,2pl,2977.7671724334937
2,8,20,Calvin,35145.885514302914
2,8,30,2pl,1964.5422524355201
2,8,30,Calvin,33779.18478746361
2,8,40,2pl,2149.8631787478394
2,8,40,Calvin,32303.464095001505
2,8,50,2pl,2447.391716200052
2,8,50,Calvin,31065.13895172137
2,8,60,2pl,2449.0946004723273
2,8,60,Calvin,29909.46332977015
2,8,70,2pl,1990.131523320193
2,8,70,Calvin,29086.29597661347
2,8,80,2pl,19245.140469544407
2,8,80,Calvin,27284.60949779183
2,8,90,2pl,18313.664962745665
2,8,90,Calvin,25509.17795660242
2,8,100,2pl,3652.6151796032286
2,8,100,Calvin,24033.536252634745
2,16,0,2pl,8963.025929147376
2,16,0,Calvin,39240.26542737525
2,16,10,2pl,5413.230933777774
2,16,10,Calvin,37641.41442891319
2,16,20,2pl,5619.17113142896
2,16,20,Calvin,37156.08347334245
2,16,30,2pl,3280.6266847751544
2,16,30,Calvin,36105.062665413534
2,16,40,2pl,3405.956718430299
2,16,40,Calvin,34446.05262061705
2,16,50,2pl,1870.0727414296796
2,16,50,Calvin,33041.94569987468
2,16,60,2pl,2741.900287582181
2,16,60,Calvin,32119.708077238553
2,16,70,2pl,27924.415554939304
2,16,70,Calvin,31867.831422428684
2,16,80,2pl,2282.871836840741
2,16,80,Calvin,20178.817110434753
2,16,90,2pl,2504.3601057535975
2,16,90,Calvin,30063.661998917745
2,16,100,2pl,2393.144748658908
2,16,100,Calvin,29227.82070377079
2,32,0,2pl,9300.837744018876
2,32,0,Calvin,39934.81724785166
2,32,10,2pl,6020.7573739755635
2,32,10,Calvin,39382.42593792633
2,32,20,2pl,4949.010509870751
2,32,20,Calvin,39008.601279198316
2,32,30,2pl,4862.0076323769
2,32,30,Calvin,37094.971729048644
2,32,40,2pl,4448.0897129497525
2,32,40,Calvin,37388.191976933515
2,32,50,2pl,42894.35909063418
2,32,50,Calvin,35570.160562818426
2,32,60,2pl,4687.90212228556
2,32,60,Calvin,32746.60073270013
2,32,70,2pl,4544.128252422276
2,32,70,Calvin,31515.337865822406
2,32,80,2pl,3400.7984064450634
2,32,80,Calvin,31470.581871200062
2,32,90,2pl,22628.69561297423
2,32,90,Calvin,29099.97039255819
