nnodes,#WH,dist,alg,tp
4,128,100,2pl,3926.3269503968254
4,128,100,Calvin,-2.0
8,1,0,2pl,143.08073401190615
8,1,0,Calvin,100862.60609074747
8,1,10,2pl,9889.194173117203
8,1,10,Calvin,52448.617574859105
8,1,20,2pl,858.4492665087349
8,1,20,Calvin,11194.839373571034
8,1,30,2pl,704.0641978678983
8,1,30,Calvin,20023.637524068265
8,1,40,2pl,1684.657697659648
8,1,40,Calvin,15892.761212635129
8,1,50,2pl,1033.522019161239
8,1,50,Calvin,17790.821615019122
8,1,60,2pl,215.05714963218784
8,1,60,Calvin,21936.616059659194
8,1,70,2pl,1053.3492548323527
8,1,70,Calvin,20929.109456562775
8,1,80,2pl,1073.2997221070468
8,1,80,Calvin,20312.003534270698
8,1,90,2pl,1540.9514047837777
8,1,90,Calvin,20884.855406393533
8,1,100,2pl,3166.351818456446
8,1,100,Calvin,24858.804418586446
8,2,0,2pl,34770.579636759096
8,2,0,Calvin,127529.82016089892
8,2,10,2pl,469.60301997623014
8,2,10,Calvin,45343.31408016645
8,2,20,2pl,984.6004894932986
8,2,20,Calvin,51394.51673036945
8,2,30,2pl,551.6344285673466
8,2,30,Calvin,22538.70872375215
8,2,40,2pl,1888.1163570379622
8,2,40,Calvin,48077.470696803844
8,2,50,2pl,938.5668650581673
8,2,50,Calvin,33535.595712355345
8,2,60,2pl,722.2670858786215
8,2,60,Calvin,34424.533639797286
8,2,70,2pl,1343.8447648411068
8,2,70,Calvin,27995.9828151687
8,2,80,2pl,1199.6507464083531
8,2,80,Calvin,32856.96916522035
8,2,90,2pl,946.5037624788238
8,2,90,Calvin,22900.66306308072
8,2,100,2pl,1131.3828091275607
8,2,100,Calvin,21583.981974638198
8,4,0,2pl,9801.679062555677
8,4,0,Calvin,144081.22374437572
8,4,10,2pl,1257.8031544582007
8,4,10,Calvin,72729.80092874088
8,4,20,2pl,1519.831657071302
8,4,20,Calvin,38974.49146148188
8,4,30,2pl,13911.256912183091
8,4,30,Calvin,63048.183048391795
8,4,40,2pl,13005.448693246924
8,4,40,Calvin,69679.97888356278
8,4,50,2pl,1344.5668037667856
8,4,50,Calvin,41289.333496879226
8,4,60,2pl,140292.17929746574
8,4,60,Calvin,50925.67587914873
8,4,70,2pl,1356.8903018507663
8,4,70,Calvin,31966.89696168245
8,4,80,2pl,9927.48900964323
