Alg,#WH,#Distributed,#Threads,Throughput
Aria,1024,10,12,49937.9
Aria,1024,20,1,4951.433333333333
Aria,1024,20,2,9620.166666666666
Aria,1024,20,4,18643.0
Aria,1024,20,8,35011.43333333333
Aria,1024,20,12,49836.333333333336
Aria,1024,30,1,4956.2
Aria,1024,30,2,9640.0
Aria,1024,30,4,18582.466666666667
Aria,1024,30,8,35045.73333333333
Aria,1024,30,12,50000.299999999996
Aria,1024,40,1,4941.133333333333
Aria,1024,40,2,9684.133333333333
Aria,1024,40,4,18607.600000000002
Aria,1024,40,8,35076.26666666666
Aria,1024,40,12,49975.13333333333
Aria,1024,50,1,4978.7
Aria,1024,50,2,9608.333333333334
Aria,1024,50,4,18588.8
Aria,1024,50,8,35096.63333333333
Aria,1024,50,12,49931.666666666664
Aria,1024,60,1,4923.133333333333
Aria,1024,60,2,9659.300000000001
Aria,1024,60,4,18568.3
Aria,1024,60,8,35064.299999999996
Aria,1024,60,12,49840.5
Aria,1024,70,1,4972.166666666667
Aria,1024,70,2,9655.933333333332
Aria,1024,70,4,18562.466666666664
Aria,1024,70,8,35107.299999999996
Aria,1024,70,12,49708.36666666667
Aria,1024,80,1,4947.733333333334
Aria,1024,80,2,9642.666666666666
Aria,1024,80,4,18514.2
Aria,1024,80,8,34995.36666666667
Aria,1024,80,12,50026.43333333333
Aria,1024,90,1,4938.266666666666
Aria,1024,90,2,9591.833333333334
Aria,1024,90,4,18532.100000000002
Aria,1024,90,8,35042.833333333336
Aria,1024,90,12,49893.6
Aria,1024,100,1,4950.833333333333
Aria,1024,100,2,9615.066666666666
Aria,1024,100,4,18506.666666666668
Aria,1024,100,8,35033.666666666664
Aria,1024,100,12,49876.36666666667
AriaFB-1,1,0,2,5427.233333333334
AriaFB-1,1,0,4,7743.3
AriaFB-1,1,0,8,9258.800000000001
AriaFB-1,1,0,12,9804.566666666666
AriaFB-1,1,10,2,5429.066666666667
AriaFB-1,1,10,4,7741.266666666666
AriaFB-1,1,10,8,9257.466666666667
AriaFB-1,1,10,12,9783.933333333334
AriaFB-1,1,20,2,5429.066666666667
AriaFB-1,1,20,4,7740.966666666667
AriaFB-1,1,20,8,9257.733333333332
AriaFB-1,1,20,12,9808.733333333332
AriaFB-1,1,30,2,5429.166666666667
AriaFB-1,1,30,4,7735.900000000001
AriaFB-1,1,30,8,9270.066666666668
AriaFB-1,1,30,12,9787.300000000001
AriaFB-1,1,40,2,5427.966666666667
AriaFB-1,1,40,4,7744.066666666667
AriaFB-1,1,40,8,9260.4
AriaFB-1,1,40,12,9844.066666666666
AriaFB-1,1,50,2,5431.566666666667
AriaFB-1,1,50,4,7742.933333333333
AriaFB-1,1,50,8,9263.733333333334
AriaFB-1,1,50,12,9788.699999999999
AriaFB-1,1,60,2,5422.8
AriaFB-1,1,60,4,7745.233333333334
AriaFB-1,1,60,8,9259.833333333334
AriaFB-1,1,60,12,9849.6
AriaFB-1,1,70,2,5427.3
AriaFB-1,1,70,4,7740.133333333334
AriaFB-1,1,70,8,9268.233333333334
AriaFB-1,1,70,12,9829.5
AriaFB-1,1,80,2,5431.400000000001
AriaFB-1,1,80,4,7738.766666666666
AriaFB-1,1,80,8,9258.833333333334
AriaFB-1,1,80,12,9803.733333333334
AriaFB-1,1,90,2,5427.0
AriaFB-1,1,90,4,7741.633333333334
AriaFB-1,1,90,8,9262.933333333332
AriaFB-1,1,90,12,9772.1
AriaFB-1,1,100,2,5436.133333333333
AriaFB-1,1,100,4,7741.400000000001
AriaFB-1,1,100,8,9259.166666666666
AriaFB-1,1,100,12,9697.300000000001
AriaFB-1,2,0,2,5391.366666666666
AriaFB-1,2,0,4,9099.533333333333
AriaFB-1,2,0,8,11515.699999999999
AriaFB-1,2,0,12,12558.366666666667
AriaFB-1,2,10,2,5412.733333333334
AriaFB-1,2,10,4,9124.833333333334
AriaFB-1,2,10,8,11520.033333333333
AriaFB-1,2,10,12,12531.166666666666
AriaFB-1,2,20,2,5388.633333333333
AriaFB-1,2,20,4,9115.133333333333
AriaFB-1,2,20,8,11512.066666666666
AriaFB-1,2,20,12,12417.800000000001
AriaFB-1,2,30,2,5418.166666666667
AriaFB-1,2,30,4,9147.866666666667
AriaFB-1,2,30,8,11529.300000000001
AriaFB-1,2,30,12,12537.866666666667
AriaFB-1,2,40,2,5438.400000000001
AriaFB-1,2,40,4,9066.566666666666
AriaFB-1,2,40,8,11515.966666666667
AriaFB-1,2,40,12,12481.1
AriaFB-1,2,50,2,5417.3
AriaFB-1,2,50,4,9113.733333333334
AriaFB-1,2,50,8,11555.9
AriaFB-1,2,50,12,12504.800000000001
AriaFB-1,2,60,2,5384.866666666667
AriaFB-1,2,60,4,9090.033333333333
AriaFB-1,2,60,8,11517.1
AriaFB-1,2,60,12,12434.566666666666
AriaFB-1,2,70,2,5397.633333333333
AriaFB-1,2,70,4,9114.0
AriaFB-1,2,70,8,11509.699999999999
AriaFB-1,2,70,12,12453.133333333331
AriaFB-1,2,80,2,5371.7
AriaFB-1,2,80,4,9047.6
AriaFB-1,2,80,8,11543.466666666667
AriaFB-1,2,80,12,12514.233333333332
AriaFB-1,2,90,2,5372.3
AriaFB-1,2,90,4,9094.133333333333
AriaFB-1,2,90,8,11584.866666666667
AriaFB-1,2,90,12,12600.666666666666
AriaFB-1,2,100,2,5392.599999999999
AriaFB-1,2,100,4,9147.466666666667
AriaFB-1,2,100,8,11639.233333333332
AriaFB-1,2,100,12,12498.833333333334
AriaFB-1,4,0,2,5439.633333333334
AriaFB-1,4,0,4,10255.033333333333
AriaFB-1,4,0,8,14349.966666666667
AriaFB-1,4,0,12,15980.633333333333
AriaFB-1,4,10,2,5451.733333333334
AriaFB-1,4,10,4,10263.300000000001
AriaFB-1,4,10,8,14271.733333333332
AriaFB-1,4,10,12,15887.133333333333
AriaFB-1,4,20,2,5429.033333333334
AriaFB-1,4,20,4,10291.566666666666
AriaFB-1,4,20,8,14283.266666666668
AriaFB-1,4,20,12,15902.566666666666
AriaFB-1,4,30,2,5427.233333333334
AriaFB-1,4,30,4,10300.199999999999
AriaFB-1,4,30,8,14286.5
AriaFB-1,4,30,12,15918.9
AriaFB-1,4,40,2,5418.866666666667
AriaFB-1,4,40,4,10269.699999999999
AriaFB-1,4,40,8,14310.766666666668
AriaFB-1,4,40,12,16017.533333333333
AriaFB-1,4,50,2,5431.833333333333
AriaFB-1,4,50,4,10265.966666666667
AriaFB-1,4,50,8,14376.733333333332
AriaFB-1,4,50,12,15715.866666666667
AriaFB-1,4,60,2,5422.900000000001
AriaFB-1,4,60,4,10259.4
AriaFB-1,4,60,8,14302.800000000001
AriaFB-1,4,60,12,15784.199999999999
AriaFB-1,4,70,2,5426.3
AriaFB-1,4,70,4,10241.9
AriaFB-1,4,70,8,14299.166666666666
AriaFB-1,4,70,12,15992.966666666667
AriaFB-1,4,80,2,5455.166666666667
AriaFB-1,4,80,4,10309.4
AriaFB-1,4,80,8,14355.333333333334
AriaFB-1,4,80,12,15935.666666666666
AriaFB-1,4,90,2,5430.400000000001
AriaFB-1,4,90,4,10295.833333333334
