stratified_term,sample_ratio,random,alg,num_of_terms_changed,num_turning_mismatch,avg_diff_per_var,r2_full,r2_sample,r2_unsample,avg_frechet_dist
partition_num,0.25,76,star_ycsb_partition_num,0.0,0.06666666666666667,0.013361367654549178,0.9641920557079284,0.9647111950638636,0.954889420454566,0.036780240917604554
threads,0.20,4,star_ycsb_threads,0.0,0.06666666666666667,0.014288033817521306,0.9641920557079284,0.9771082955804794,0.9333074418331293,0.03325742308662852
servers,0.15,90,star_ycsb_servers,0.0,0.06666666666666667,0.025323405451983638,0.9641920557079284,0.9734021829611075,0.9350108120530422,0.016979914539711816
req_per_query,0.05,47,cicada-Cicada_ycsb_req_per_query,3.0,0.15555555555555556,nan,0.9228232541022933,0.9710607207972307,0.6474587200064577,nan
clients,0.25,96,janus-Janus_tpcc_clients,0.25,0.05029761904761905,0.02625318341442174,0.955801103792088,0.9799068749691926,0.7022333036021066,0.3614006887704005
clients,0.80,65,janus-Janus_tpcc_clients,0.0,0.015476190476190477,0.0033931042259859115,0.955801103792088,0.9599469329153086,0.9285182830132207,0.04728916503436282
servers,0.25,48,star_ycsb_servers,0.0,0.03333333333333333,0.035935592484387296,0.9641920557079284,0.9639486670730688,0.9513172070933326,0.010832605718214908
threads,0.70,61,janus-Janus_tpcc_threads,0.0,0.036904761904761905,0.003655133590446176,0.955801103792088,0.9591018855180136,0.7805295588821215,0.2676287199011603
value_size,0.65,52,herd_ycsb_value_size,0.0,1.0,0.030307940191095284,0.9795559629902447,0.9791689687062096,0.9793388933724976,0.004541256947034333
put_percent,0.30,86,herd_ycsb_put_percent,0.0,0.0,0.031741928380651596,0.9795559629902447,0.9814283719198537,0.9766983587855427,0.00864881004327922
ReadRatio,0.65,58,silo_ycsb_ReadRatio,0.5,0.03333333333333333,0.0354052605386799,0.9966707859675427,0.9971541384517821,0.9799360826986175,0.05416950840956555
zipf,0.80,18,herd_ycsb_zipf,0.0,1.0,0.020214440426653213,0.9795559629902447,0.9803557711225119,0.9738376679339007,0.009275800941015544
servers,0.60,51,gam_tpcc_servers,0.0,0.0,0.03366844942238024,0.9571731790672277,0.9788654596739041,0.8521877966270626,0.14704745070673844
cross,0.35,91,gam_tpcc_cross,0.6666666666666666,0.3611111111111111,0.018371108462811703,0.9571731790672277,0.9786513444366638,0.7073521276453743,0.011478619171068627
servers,0.65,37,star_tpcc_servers,0.0,0.1111111111111111,0.0038590165201095408,0.9891328938680841,0.990336354322411,0.9790658033452168,0.038891271392248745
ReadRatio,0.70,44,tapir_ycsb_ReadRatio,1.0,0.125,0.011847716782778406,0.9635074374070052,0.9748125388354112,0.9214808074579693,0.12385697722545874
partition_num,0.45,13,star_tpcc_partition_num,0.3333333333333333,0.3888888888888889,0.0143280732829809,0.9891328938680841,0.992883314733797,0.973536322783056,0.12514483767769813
cross,0.95,6,gam_tpcc_cross,0.0,0.0,0.005627204506767398,0.9571731790672277,0.9586107139970941,0.8774895270186477,0.05424418638670838
keys,0.40,30,tapir_ycsb_keys,0.0,1.0,0.0012487844274577942,0.9635074374070052,0.9580635428097364,0.9359166069589768,0.25129456573599407
nrep,0.55,25,tapir_ycsb_nrep,0.0,0.0,0.022655608890973983,0.9635074374070052,0.9711464880593357,0.9422419959655528,0.1470289933015484
nclients,0.25,30,tapir_ycsb_nclients,0.0,0.0,0.0677422848515753,0.9635074374070052,0.9868052291095548,0.8968790545042817,0.3094124521974867
nShard,0.30,79,tapir_ycsb_nShard,0.0,1.0,0.1603465556513556,0.9635074374070052,0.9561815907432791,0.9081945968302333,0.48301094856496857
cross,0.95,2,gam_tpcc_cross,0.0,0.0,0.005925267270333365,0.9571731790672277,0.9582869338175887,0.8715648529897272,0.01581557333083485
dist,0.55,58,calvin-Calvin_tpcc_dist,0.5,0.5357142857142856,0.0737477985460203,0.9512803843365047,0.9601225456428969,0.6631950717289103,0.333694202593661
nShard,0.85,61,tapir_ycsb_nShard,0.0,0.0,0.003610522781137715,0.9635074374070052,0.964231849671066,0.9496196912097478,0.025363461130167853
WH,0.80,94,aria-Aria_tpcc_WH,0.0,0.0,0.0003786627174978685,0.9999855166700965,0.9999869773348528,0.9999777244899012,0.0007803200548134326
node,0.40,23,drtm_tpcc_node,0.0,0.34375,0.0232560075058037,0.9404530615383303,0.9519018921807588,0.9073941762381305,0.10608971396051114
req_per_query,0.25,77,cicada-Cicada_ycsb_req_per_query,0.0,0.0,0.013042956009329504,0.9228232541022933,0.9209759333697651,0.9107064212863418,0.04704087448106826
keys,0.35,34,tapir_ycsb_keys,1.0,0.125,0.018418293501926697,0.9635074374070052,0.9804066082901645,0.9095616587462453,0.2968856048853694
Distributed,0.85,71,aria-Aria_tpcc_Distributed,0.0,0.0,1.684223702846932e-05,0.9999855166700965,0.9999850990527754,0.9999855360093063,0.0006800046666867732
rw,0.10,84,star_ycsb_rw,0.0,0.13333333333333333,0.017075465120046596,0.9641920557079284,0.9730090669377032,0.9258857114680273,0.057898518953718746
nnodes,0.50,27,calvin-Calvin_tpcc_nnodes,0.5,0.03857142857142857,0.0667118944928012,0.9512803843365047,0.9835806067968943,0.786988050118992,0.4119294256908036
scale_factor,0.45,10,drtm_tpcc_scale_factor,0.0,0.010416666666666666,0.023753500812025933,0.9404530615383303,0.9482948301472311,0.9086824626665957,0.07882292535236181
partition_num,0.70,1,star_ycsb_partition_num,0.0,0.06666666666666667,0.006260089135795094,0.9641920557079284,0.9669131113115208,0.9495893493864022,0.006561499631636313
scale_factor,0.20,1,drtm_tpcc_scale_factor,0.3333333333333333,0.3625,0.02866660155214064,0.9404530615383303,0.9830989470538647,0.7764316467189544,0.2969865443341616
terminal,0.95,61,mysql_tpcc_terminal,0.0,0.0,0.0047550521178639504,0.998218669377621,0.99825122723399,0.9971360876893992,0.004988267170785655
zipf_theta,0.40,58,cicada-Cicada_ycsb_zipf_theta,0.0,0.0,0.011641561252572818,0.9228232541022933,0.9311089645590385,0.9100544626904115,0.03021315248862961
cross,0.25,75,star_ycsb_cross,0.0,0.03333333333333333,0.0198449321762105,0.9641920557079284,0.9697441768443296,0.9533856697298085,0.017747864328047674
req_per_query,0.55,66,cicada-Cicada_ycsb_req_per_query,0.0,0.0,0.0017602306003833001,0.9228232541022933,0.923211460307855,0.9173271798953533,0.018426404558684554
WH,0.85,67,calvin-Calvin_tpcc_WH,0.5,0.036904761904761905,0.023625789081550733,0.9512803843365047,0.9546428947801658,0.8485029289020295,0.2368868845526476
clients,0.80,1,janus-Janus_tpcc_clients,0.0,0.007142857142857143,0.0077279139226300725,0.955801103792088,0.9579012202242231,0.9418014521363623,0.0296642617539254
cross_warehouse,0.60,30,drtm_tpcc_cross_warehouse,0.0,0.020833333333333332,0.008685984633208904,0.9404530615383303,0.9487278080989688,0.8953402966795694,0.0589059075259149
threads,0.95,49,star_ycsb_threads,0.0,0.0,0.0052778202449842715,0.9641920557079284,0.9636272909442056,0.9686012070636557,0.001891422142430176
servers,0.20,98,star_ycsb_servers,0.0,0.03333333333333333,0.024427554017813047,0.9641920557079284,0.9604788683321519,0.9510342563685994,0.03623399060777602
nnodes,0.45,67,calvin-Calvin_tpcc_nnodes,0.5,0.036904761904761905,0.07575392063212805,0.9512803843365047,0.9832870178464809,0.6651988511143658,0.590143841907669
cross,0.45,54,star_ycsb_cross,0.0,0.03333333333333333,0.009812217235866588,0.9641920557079284,0.9638298416765944,0.9558152724147148,0.02294687447457155
partition_num,0.15,67,star_ycsb_partition_num,0.0,0.06666666666666667,0.02263804021385049,0.9641920557079284,0.9599597048265166,0.9451701277454687,0.027629507851144198
clients,0.50,99,janus-Janus_tpcc_clients,0.25,0.05386904761904763,0.06044157795839732,0.955801103792088,0.9624492668868796,0.8730608596109193,0.13964681145150912
ReadRatio,0.95,76,silo_ycsb_ReadRatio,0.0,0.0,0.007555077309662206,0.9966707859675427,0.9967282196416772,0.9901563176977669,0.00943785654521298
threads,0.85,71,silo_ycsb_threads,0.0,0.0,0.005782426489335954,0.9966707859675427,0.9969738614867959,0.9852732726212055,0.03455358959600041
num_keys,0.65,67,herd_ycsb_num_keys,0.0,0.0,0.02074196530132133,0.9795559629902447,0.980058839045566,0.9772665792266634,0.008631285416581952
partition_num,0.60,98,star_tpcc_partition_num,0.3333333333333333,0.3611111111111111,0.0034826007504600506,0.9891328938680841,0.9921630675349602,0.9771621160319112,0.05407596542738528
partition_num,0.50,47,star_tpcc_partition_num,0.3333333333333333,0.027777777777777776,0.020867962119777927,0.9891328938680841,0.9929759018157641,0.9719465013695046,0.10046272862500782
threads,0.45,56,silo_ycsb_threads,0.5,0.5333333333333333,0.019752671157137955,0.9966707859675427,0.9999850512208314,0.9127402044824676,0.14845667197918333
value_size,0.05,98,herd_ycsb_value_size,0.0,1.0,0.26916269838781137,0.9795559629902447,0.9590354002049911,0.962392776421663,0.03582331154265361
servers,0.50,17,gam_tpcc_servers,0.6666666666666666,0.3611111111111111,0.0028018620663017857,0.9571731790672277,0.9672738032813283,0.9017872859635473,0.016042436371002333
warehouses,0.80,92,gam_tpcc_warehouses,0.0,0.0,0.006723630380056832,0.9571731790672277,0.9565504648139784,0.9415442941752186,0.03453363779790077
nShard,0.95,92,tapir_ycsb_nShard,0.0,0.0,0.001300391572165105,0.9635074374070052,0.9633268071806935,0.9605091691796617,0.02167811448719359
warehouses,0.55,27,gam_tpcc_warehouses,0.0,0.0,0.015834048768498376,0.9571731790672277,0.9670883871900141,0.7560500426528672,0.1552400076855246
nclients,0.60,82,tapir_ycsb_nclients,0.0,0.0,0.011839584064450015,0.9635074374070052,0.9699502878236143,0.9333769932132233,0.04891572959440016
warehouses,0.85,62,gam_tpcc_warehouses,0.0,0.0,0.004793525257759996,0.9571731790672277,0.9600246031665753,0.9017557799630841,0.04710742939763552
threads,0.85,82,aria-Aria_tpcc_threads,0.0,0.0,0.00041956929269681975,0.9999855166700965,0.9999863994173555,0.9999788021385936,0.0005756403387059406
Distributed,0.35,6,aria-Aria_tpcc_Distributed,0.0,0.0,0.06666073275246553,0.9999855166700965,0.9999948310105501,0.9999026895263388,0.010215337703123661
threads,0.30,65,aria-Aria_tpcc_threads,2.0,0.035,0.5830902605129055,0.9999855166700965,0.9999995024932334,0.9919343411201977,0.12527229406520035
threads,0.85,2,cicada-Cicada_ycsb_threads,0.0,0.0,0.0011013597718899926,0.9228232541022933,0.9245172511327467,0.9072800317315806,0.004012878808243776
req_per_query,0.35,70,cicada-Cicada_ycsb_req_per_query,0.0,0.0,0.016214836288039103,0.9228232541022933,0.9245817471536218,0.9130150181690438,0.055446361131441496
cross,0.45,16,star_ycsb_cross,0.0,0.06666666666666667,0.004778014224192134,0.9641920557079284,0.963028752158517,0.9592046746837203,0.019089881643847898
cross,0.95,6,star_ycsb_cross,0.0,0.0,0.002691002562796335,0.9641920557079284,0.9645189580849205,0.9522943684044645,0.0027969505028254136
threads,0.35,51,aria-Aria_tpcc_threads,0.0,0.0,0.05803714822762518,0.9999855166700965,0.9999964189901042,0.9992402092015831,0.002933320979535581
total_count,0.35,16,cicada-Cicada_ycsb_total_count,0.0,0.0,0.02661137125049312,0.9228232541022933,0.9353492919426367,0.9051312552508999,0.027886187263015786
threads,0.95,15,cicada-Cicada_ycsb_threads,0.0,0.0,0.000902028727621712,0.9228232541022933,0.9232243200750784,0.9116197585014064,0.006084848118020044
chunk_size,0.15,76,mysql_tpcc_chunk_size,0.0,0.0,0.06868659004321781,0.998218669377621,0.9992110213668077,0.927104621215995,0.3276309003895537
rw,0.30,11,star_ycsb_rw,0.0,0.06666666666666667,0.0192753415528992,0.9641920557079284,0.9663308610301294,0.9522476565370152,0.0217109357139264
cross_warehouse,0.80,79,drtm_tpcc_cross_warehouse,0.0,0.03125,0.012524447273112466,0.9404530615383303,0.9424744731392846,0.9109217186391536,0.03134506305979562
cross_warehouse,0.75,15,drtm_tpcc_cross_warehouse,0.0,0.010416666666666666,0.014584643840317435,0.9404530615383303,0.9480505380765584,0.8980530410687748,0.09101615329122646
rw,0.30,28,star_ycsb_rw,0.0,0.03333333333333333,0.012371982984103441,0.9641920557079284,0.9688440501677203,0.9550642390601704,0.026853846252229734
WH,0.75,30,mysql_tpcc_WH,0.0,0.0,0.007218535020395933,0.998218669377621,0.9982524440344984,0.9975128805290776,0.015737213991927627
num_chunk,0.15,55,mysql_tpcc_num_chunk,0.0,0.0,0.04615625202763307,0.998218669377621,0.9994826343044688,0.7209340464979113,0.42725641948457344
WH,0.70,2,calvin-Calvin_tpcc_WH,0.5,0.036904761904761905,0.019923787961351157,0.9512803843365047,0.9727615369947583,0.7954382793485615,0.3740644511196239
chunk_size,0.40,69,mysql_tpcc_chunk_size,0.0,0.5,0.04554616213216109,0.998218669377621,0.998591507643671,0.9969369468726206,0.02147676408395998
threads,0.10,16,cicada-Cicada_ycsb_threads,0.0,0.0,0.023536158882740826,0.9228232541022933,0.9250406771313834,0.8771680221676248,0.056054162814842
threads,0.50,57,janus-Janus_tpcc_threads,0.25,0.05863095238095238,0.05143018162605014,0.955801103792088,0.961219997858132,0.9049664372418784,0.18791524959521805
servers,0.70,5,star_ycsb_servers,0.0,0.03333333333333333,0.014324186578078602,0.9641920557079284,0.9652030633501276,0.9557105014741818,0.007948349922824978
partition_num,0.85,51,star_ycsb_partition_num,0.0,0.03333333333333333,0.004173921806161052,0.9641920557079284,0.9636398240934007,0.964181102302518,0.009219405837416102
chunk_size,0.35,76,mysql_tpcc_chunk_size,0.0,0.0,0.035679957924478256,0.998218669377621,0.9988583846205316,0.9965749604703692,0.03557745059622469
chunk_size,0.35,80,mysql_tpcc_chunk_size,0.0,0.0,0.03325034915904357,0.998218669377621,0.9988306530818885,0.9966725782424651,0.02951322465160223
read_ratio,0.05,26,cicada-Cicada_ycsb_read_ratio,1.0,0.06666666666666667,0.060376506947423525,0.9228232541022933,0.96655062716156,0.8193626237137763,0.10583344557926044
zipf,0.15,82,herd_ycsb_zipf,0.0,0.0,0.024121557857866627,0.9795559629902447,0.9854526394472932,0.9683322475606593,0.02192858475562942
zipf,0.30,12,herd_ycsb_zipf,0.0,1.0,0.0016266953403667461,0.9795559629902447,0.9801460991011284,0.9771185974654757,0.007399333181301815
