stratified_term,sample_ratio,random,alg,num_of_terms_changed,num_turning_mismatch,avg_diff_per_var,r2_full,r2_sample,r2_unsample,avg_frechet_dist
nShard,0.35,10,tapir_ycsb_nShard,0.0,1.0,0.29405234828923377,0.9635074374070052,0.941630627746186,0.930669923097914,0.3373151534359518
scale_factor,0.85,14,drtm_tpcc_scale_factor,0.3333333333333333,0.3541666666666667,0.022206688638653688,0.9404530615383303,0.9439123080494844,0.9359485381394125,0.05476002714477705
remote,0.80,33,silo-Silo_tpcc_remote,0.0,0.03333333333333333,0.0076544077208722805,0.9834710484572299,0.9870760763798143,0.9511374700666233,0.0327666604762914
read_ratio,0.85,38,cicada-Cicada_ycsb_read_ratio,0.0,0.0,0.0069320858098392,0.9228232541022933,0.9241941791502388,0.919702098639491,0.019786931941252587
warehouse,0.50,57,silo-Silo_tpcc_warehouse,0.5,0.5111111111111111,0.06207129983881815,0.9834710484572299,0.9834129555812217,0.9673665998495882,0.07587113706297102
threads,0.85,45,cicada-Cicada_ycsb_threads,0.0,0.0,0.0043397493242468,0.9228232541022933,0.9204370963869578,0.9232322023813054,0.016059865386861747
threads,0.80,69,drtm_tpcc_threads,0.0,0.020833333333333332,0.012536285254536234,0.9404530615383303,0.9447654295099178,0.896607423396657,0.07359243590733579
scale_factor,0.40,19,drtm_tpcc_scale_factor,0.3333333333333333,0.029166666666666664,0.03602762707541807,0.9404530615383303,0.9753483800483664,0.8002308305259684,0.15712492653878365
num_chunk,0.30,73,mysql_tpcc_num_chunk,0.0,0.0,0.022262018371128928,0.998218669377621,0.9988117590215329,0.9943077284939035,0.05396461625630796
servers,0.65,45,star_ycsb_servers,0.0,0.03333333333333333,0.01065584920304441,0.9641920557079284,0.9642594451591789,0.9629506005020085,0.010454688867340607
cross,0.40,75,star_ycsb_cross,0.0,0.06666666666666667,0.0111080143610994,0.9641920557079284,0.9692663494523712,0.9352764640789542,0.010557402077795099
min_wal_size,0.25,6,postgresql_tpcc_min_wal_size,0.0,1.0,0.09843958025912125,0.998519743400367,0.9989451109814433,0.9918650879901084,0.21249653925667394
max_wal_size,0.40,94,postgresql_tpcc_max_wal_size,0.0,0.0,0.09337144355341698,0.998519743400367,0.998915564000668,0.9978142705034347,0.027792817822527627
min_wal_size,0.65,2,postgresql_tpcc_min_wal_size,0.0,0.0,0.056115139701497174,0.998519743400367,0.9987493883330437,0.9976724456344913,0.013201525466385033
terminal,0.95,18,postgresql_tpcc_terminal,0.0,0.0,0.04299185299157382,0.998519743400367,0.9983025353478712,0.9979476874383959,0.006469749098421712
dist,0.85,85,calvin-Calvin_tpcc_dist,0.0,0.0,0.009341331717460377,0.805957535218111,0.818762273966908,0.8100438490121744,0.029624352481843627
num_keys,0.05,18,herd_ycsb_num_keys,0.0,0.0,0.15603708819259965,0.9795559629902447,0.9374752693308029,0.9759332932461645,0.04930843589020778
WH,0.85,69,aria-Aria_tpcc_WH,0.0,0.0,0.00042956871822041887,0.9960699191676947,0.9963065703011252,0.9949608719376187,0.003039086140773528
value_size,0.60,25,herd_ycsb_value_size,0.0,0.0,0.029927015219900044,0.9795559629902447,0.9807199529535083,0.9798798743787617,0.00739552081410999
num_keys,0.05,54,herd_ycsb_num_keys,0.0,0.0,0.13675407297879616,0.9795559629902447,0.987459534495604,0.6284481471777477,0.21968219454154847
WH,0.40,52,calvin-Calvin_tpcc_WH,0.5,0.0,0.026096620458369454,0.805957535218111,0.7902897916101778,0.5834686329236902,0.07673127333470901
record_size,0.30,36,cicada-Cicada_ycsb_record_size,0.0,0.0,0.0017625467233758907,0.9228232541022933,0.9296265404643631,0.8927470119565175,0.046521208190049464
ReadRatio,0.55,13,tapir_ycsb_ReadRatio,1.0,0.0,0.021458391048054387,0.9635074374070052,0.9614281421147282,0.9236798943420834,0.15215227648288188
Distributed,0.60,51,aria-Aria_tpcc_Distributed,0.0,0.0,0.0005612138331044791,0.9960699191676947,0.9964001141653365,0.99614124856568,0.008686197126822049
threads,0.70,2,silo_ycsb_threads,0.0,0.0,0.02820979404809691,0.9966707859675427,0.9997458932975903,0.9561561080883809,0.022467913728245317
keys,0.95,75,tapir_ycsb_keys,0.0,1.0,0.009731608519749996,0.9635074374070052,0.9685493448052981,0.9377216015032763,0.046253679713229245
total_count,0.05,72,cicada-Cicada_ycsb_total_count,0.0,0.0,0.032547069197803785,0.9228232541022933,0.9821356889241565,0.125284228191764,0.29140176646338267
scale_factor,0.35,14,drtm_tpcc_scale_factor,0.6666666666666666,0.029166666666666664,0.0485294539645308,0.9404530615383303,0.9829293998097336,0.8152341978006956,0.45312795498332786
replica,0.50,91,janus-Janus_tpcc_replica,0.0,0.05357142857142857,0.01729699512716358,0.955801103792088,0.9621504045917819,0.8031068207876529,0.16092633893762684
scale_factor,0.40,76,drtm_tpcc_scale_factor,0.0,0.3645833333333333,0.009664963654408424,0.9404530615383303,0.963507870494271,0.7873775827145698,0.348347386463991
total_count,0.75,87,cicada-Cicada_ycsb_total_count,0.0,0.0,0.0018159887352057202,0.9228232541022933,0.9227947227100414,0.9180573983137561,0.005166109091164219
total_count,0.15,16,cicada-Cicada_ycsb_total_count,1.0,0.0,0.005177862452872606,0.9228232541022933,0.9499346750820054,0.9036929393963399,0.15906831810630812
threads,0.75,52,drtm_tpcc_threads,0.0,0.020833333333333332,0.01184065902758119,0.9404530615383303,0.9435510280535937,0.9257524334804731,0.08006980987689544
num_chunk,0.55,57,mysql_tpcc_num_chunk,0.0,0.5,0.014167533732071302,0.998218669377621,0.9988301809483123,0.9966991034420666,0.021129570635366468
warehouse,0.40,97,silo-Silo_tpcc_warehouse,0.0,0.06666666666666667,0.06088003954383757,0.9834710484572299,0.9991200018015389,0.40356895189492004,0.26444484730517137
warehouse,0.50,38,silo-Silo_tpcc_warehouse,0.5,0.5444444444444443,0.12941482765260054,0.9834710484572299,0.9798183536674424,0.8858668088522366,0.09554988996761489
WH,0.70,42,mysql_tpcc_WH,0.0,0.0,0.005562340841075486,0.998218669377621,0.9982706065725572,0.996722611987129,0.02190483760604398
servers,0.50,49,star_ycsb_servers,0.0,0.1,0.0023139726666569216,0.9641920557079284,0.9722528046699683,0.9574982285477338,0.013581695504885244
shards,0.25,26,janus-Janus_tpcc_shards,1.0,0.5630952380952379,0.1987410160707756,0.955801103792088,0.9961462427566875,0.6304422573174846,0.4809238246913345
clients,0.40,99,janus-Janus_tpcc_clients,0.0,0.06071428571428572,0.00933984741065718,0.955801103792088,0.9738809173879059,0.8647568955441798,0.18300798522372516
terminal,0.90,42,postgresql_tpcc_terminal,0.0,0.0,0.0797913298493691,0.998519743400367,0.9985230169351356,0.9983901836037923,0.014927436734900823
total_count,0.05,0,cicada-Cicada_ycsb_total_count,3.0,0.18888888888888888,0.035884552876465386,0.9228232541022933,0.9683754342496519,0.5255824943969569,0.2867867171446528
max_wal_size,0.70,37,postgresql_tpcc_max_wal_size,0.0,0.0,0.04475380843715138,0.998519743400367,0.9980728503783423,0.9978988929540201,0.018812128804267192
min_wal_size,0.85,78,postgresql_tpcc_min_wal_size,0.0,0.0,0.028188302687336186,0.998519743400367,0.9921902813483224,0.9920425008958401,0.012496108956040919
put_percent,0.40,25,herd_ycsb_put_percent,0.0,1.0,0.04299570045807988,0.9795559629902447,0.9811534263017366,0.9845145209417295,0.011358388873001224
Distributed,0.65,89,aria-Aria_tpcc_Distributed,0.0,0.0,0.0003557545207067969,0.9960699191676947,0.9960571307119783,0.995443728271387,0.006329132823633454
value_size,0.60,68,herd_ycsb_value_size,0.0,1.0,0.010814205413115174,0.9795559629902447,0.9810942745778445,0.9677047203546109,0.01365393668105791
WH,0.45,74,calvin-Calvin_tpcc_WH,0.0,0.0,0.00588285567087124,0.805957535218111,0.8219719643588212,0.7539287311866777,0.11491084211343122
threads,0.65,81,silo_ycsb_threads,0.5,0.0,0.011087928949231107,0.9966707859675427,0.998844383539812,0.936359221106336,0.06929578807022763
dist,0.50,93,calvin-Calvin_tpcc_dist,0.0,0.0,0.032987212105065486,0.805957535218111,0.8526144324530924,0.5378816606733599,0.13806989000753347
nnodes,0.95,73,calvin-Calvin_tpcc_nnodes,0.0,0.0,0.017188934935057493,0.805957535218111,0.8065907405940598,0.8162138704163922,0.05407517027611987
WH,0.75,93,calvin-Calvin_tpcc_WH,0.0,0.0,0.012082314120273746,0.805957535218111,0.8125734063319932,0.7946370403875995,0.08292146969188918
cross,0.60,66,star_tpcc_cross,0.0,0.027777777777777776,0.04030856559654941,0.9891328938680841,0.9930769041911431,0.9618369301161661,0.05048681303882883
value_size,0.20,98,herd_ycsb_value_size,0.0,0.0,0.0019511143376050866,0.9795559629902447,0.9755197997877536,0.9830264817280493,0.032026422375736385
cross,0.80,87,gam_tpcc_cross,0.0,0.0,0.007245491438614675,0.9571731790672277,0.9696988590678103,0.8398117147567226,0.1308638371346835
scale_factor,0.70,49,drtm_tpcc_scale_factor,0.3333333333333333,0.34375,0.02752329688464425,0.9404530615383303,0.9463212005665464,0.8860054134986658,0.08327251096577662
rw,0.50,22,star_ycsb_rw,0.0,0.1,0.016034446104992467,0.9641920557079284,0.9720517603425826,0.9507806235634665,0.016046936328333903
terminal,0.60,48,mysql_tpcc_terminal,0.0,0.0,0.013701170707038801,0.998218669377621,0.9985774846834096,0.9942226729349646,0.029867912804161015
nclients,0.25,18,tapir_ycsb_nclients,0.0,1.0,0.01057879613139609,0.9635074374070052,0.9834014324983836,0.7965455722387711,0.2920710055542416
terminal,0.75,65,mysql_tpcc_terminal,0.0,0.0,0.0015158141556627924,0.998218669377621,0.9984942085989158,0.9975475663474814,0.020772625088949462
num_chunk,0.30,33,mysql_tpcc_num_chunk,0.0,0.5,0.08415825192575202,0.998218669377621,0.9989761928806856,0.9968353351834321,0.033463671550161014
servers,0.55,53,star_ycsb_servers,0.0,0.06666666666666667,0.037941653990050644,0.9641920557079284,0.9687020124163189,0.9490011869245475,0.008070490245294904
keys,0.35,44,tapir_ycsb_keys,1.0,1.0,0.0336938697567736,0.9635074374070052,0.9592340565375521,0.8556091436389863,0.43316708107689716
read_ratio,0.70,18,cicada-Cicada_ycsb_read_ratio,0.0,0.0,0.004819766127662994,0.9228232541022933,0.9216593648021639,0.9226023889194994,0.022468402287018328
num_chunk,0.75,93,mysql_tpcc_num_chunk,0.0,0.0,0.013122841483272502,0.998218669377621,0.9984033581202914,0.9972304943037997,0.011669917302120138
zipf,0.65,14,star_ycsb_zipf,0.0,0.03333333333333333,0.004240919153832373,0.9641920557079284,0.9693800442051789,0.9486929396563701,0.011162391794687756
servers,0.30,41,star_ycsb_servers,0.0,0.1,0.02564924104415045,0.9641920557079284,0.9683486592706326,0.957496771853114,0.02614172982638541
clients,0.55,10,janus-Janus_tpcc_clients,0.25,0.08244047619047619,0.056165425250894706,0.955801103792088,0.9597720054370524,0.8292175618603255,0.27697005091004734
shared_buffer,0.50,97,postgresql_tpcc_shared_buffer,0.0,0.0,0.0905423231075837,0.998519743400367,0.9988755937923702,0.9978141395131958,0.025557154914703006
